单品编码_A,单品名称_A,分类名称_A,单品编码_B,单品名称_B,分类名称_B,共同有销售记录日数,Pearson相关,Spearman相关,最大绝对相关,Pearson_Spearman绝对差,Pearson_Spearman同号,共同最弱相关绝对值
102900011018095,虫草花(袋),食用菌,106958851400125,海鲜菇(袋)(4),食用菌,71,0.671996,0.553815,0.671996,0.118181,True,0.553815
102900005116837,平菇,食用菌,102900011011546,海鲜菇(袋)(1),食用菌,116,0.551259,0.598444,0.598444,0.047185,True,0.551259
102900011032787,竹叶菜(份),花叶类,102900051010455,黄白菜(2),花叶类,75,0.619788,0.547232,0.619788,0.072557,True,0.547232
102900011030059,云南生菜(份),花叶类,102900011034224,小青菜(份),花叶类,168,0.547090,0.568510,0.568510,0.021421,True,0.547090
102900011032367,红灯笼椒(2),辣椒类,102900011032732,高瓜(2),水生根茎类,87,0.547020,0.643046,0.643046,0.096026,True,0.547020
102900005116899,净藕(1),水生根茎类,106949711300068,金针菇(袋)(3),食用菌,257,0.546914,0.597316,0.597316,0.050401,True,0.546914
102900011031100,小米椒(份),辣椒类,102900011032251,螺丝椒(份),辣椒类,375,0.537916,0.545969,0.545969,0.008053,True,0.537916
102900005116257,紫茄子(2),茄类,102900005122654,枝江红菜苔,花叶类,383,0.571090,0.535555,0.571090,0.035536,True,0.535555
106949711300259,金针菇(盒),食用菌,106971533450003,海鲜菇(包),食用菌,70,0.534854,0.552709,0.552709,0.017855,True,0.534854
102900005119975,红薯尖,花叶类,102900005125815,杏鲍菇(1),食用菌,286,0.548212,0.534451,0.548212,0.013762,True,0.534451
102900005118824,高瓜(1),水生根茎类,106971533455008,海鲜菇(袋)(3),食用菌,117,0.531230,0.584119,0.584119,0.052889,True,0.531230
102900011006689,东门口小白菜,花叶类,102900011008522,甜白菜,花叶类,96,0.528954,0.550909,0.550909,0.021955,True,0.528954
102900005115779,云南生菜,花叶类,102900011029176,辣妹子,辣椒类,72,0.697186,0.528623,0.697186,0.168563,True,0.528623
102900011031100,小米椒(份),辣椒类,102900011032787,竹叶菜(份),花叶类,76,0.559509,0.526922,0.559509,0.032587,True,0.526922
102900011030110,菠菜(份),花叶类,102900011030141,上海青(份),花叶类,228,0.526100,0.526735,0.526735,0.000635,True,0.526100
102900005116837,平菇,食用菌,106958851400125,海鲜菇(袋)(4),食用菌,181,0.569745,0.524144,0.569745,0.045602,True,0.524144
102900011008164,奶白菜,花叶类,102900011029176,辣妹子,辣椒类,73,0.596087,0.519846,0.596087,0.076241,True,0.519846
102900005116912,姬菇(1),食用菌,102900011009444,大龙茄子,茄类,86,0.519675,0.590319,0.590319,0.070644,True,0.519675
102900011030141,上海青(份),花叶类,102900011032022,小皱皮(份),辣椒类,238,0.605075,0.519074,0.605075,0.086002,True,0.519074
102900005116714,西兰花,花菜类,102900011033920,黄心菜(2),花叶类,221,0.518999,0.572797,0.572797,0.053798,True,0.518999
102900005115779,云南生菜,花叶类,102900011022764,长线茄,茄类,406,0.546327,0.518363,0.546327,0.027963,True,0.518363
102900011031100,小米椒(份),辣椒类,106949711300259,金针菇(盒),食用菌,378,0.591608,0.518052,0.591608,0.073556,True,0.518052
102900011030059,云南生菜(份),花叶类,102900011031100,小米椒(份),辣椒类,393,0.519632,0.517789,0.519632,0.001843,True,0.517789
102900005116899,净藕(1),水生根茎类,102900011033920,黄心菜(2),花叶类,207,0.516642,0.515320,0.516642,0.001323,True,0.515320
102900011030103,茼蒿(份),花叶类,102900011030110,菠菜(份),花叶类,81,0.514510,0.595973,0.595973,0.081463,True,0.514510
102900005116899,净藕(1),水生根茎类,102900011034026,枝江青梗散花,花菜类,320,0.514006,0.540600,0.540600,0.026594,True,0.514006
102900011032251,螺丝椒(份),辣椒类,106971533450003,海鲜菇(包),食用菌,67,0.513699,0.552045,0.552045,0.038346,True,0.513699
102900005115793,小白菜,花叶类,102900005115984,云南油麦菜,花叶类,453,0.512208,0.558157,0.558157,0.045949,True,0.512208
102900011030059,云南生菜(份),花叶类,102900011032022,小皱皮(份),辣椒类,359,0.568585,0.511780,0.568585,0.056804,True,0.511780
102900005115885,蔡甸藜蒿,花叶类,102900005125808,小米椒,辣椒类,215,0.577161,0.509700,0.577161,0.067461,True,0.509700
102900011030059,云南生菜(份),花叶类,102900051010455,黄白菜(2),花叶类,244,0.509085,0.537875,0.537875,0.028791,True,0.509085
102900005115823,上海青,花叶类,102900011008522,甜白菜,花叶类,272,0.507971,0.613103,0.613103,0.105132,True,0.507971
102900011032251,螺丝椒(份),辣椒类,102900011033906,保康高山大白菜,花叶类,172,0.506945,0.520609,0.520609,0.013663,True,0.506945
102900005115823,上海青,花叶类,102900051010455,黄白菜(2),花叶类,816,0.503038,0.545936,0.545936,0.042898,True,0.503038
102900005116509,青茄子(1),茄类,102900005125815,杏鲍菇(1),食用菌,432,0.595038,0.503006,0.595038,0.092032,True,0.503006
102900011008522,甜白菜,花叶类,102900011009444,大龙茄子,茄类,110,0.502247,0.652587,0.652587,0.150340,True,0.502247
102900011030097,云南油麦菜(份),花叶类,102900051010455,黄白菜(2),花叶类,246,0.501703,0.560699,0.560699,0.058996,True,0.501703
102900011030097,云南油麦菜(份),花叶类,102900011032732,高瓜(2),水生根茎类,142,0.499798,0.560705,0.560705,0.060908,True,0.499798
102900005115793,小白菜,花叶类,102900005125815,杏鲍菇(1),食用菌,286,0.498743,0.526225,0.526225,0.027482,True,0.498743
102900005125815,杏鲍菇(1),食用菌,102900011008522,甜白菜,花叶类,258,0.498389,0.641967,0.641967,0.143577,True,0.498389
102900005115908,菜心,花叶类,102900005125815,杏鲍菇(1),食用菌,442,0.508418,0.497748,0.508418,0.010670,True,0.497748
102900011021842,洪湖莲藕(粉藕),水生根茎类,106949711300259,金针菇(盒),食用菌,225,0.534958,0.497501,0.534958,0.037457,True,0.497501
102900005116530,西峡香菇(1),食用菌,106949711300259,金针菇(盒),食用菌,255,0.638816,0.496076,0.638816,0.142739,True,0.496076
102900005115885,蔡甸藜蒿,花叶类,102900011008522,甜白菜,花叶类,105,0.567513,0.495440,0.567513,0.072073,True,0.495440
102900011030097,云南油麦菜(份),花叶类,102900011033937,金针菇(2),食用菌,75,0.519284,0.495257,0.519284,0.024027,True,0.495257
102900011030141,上海青(份),花叶类,102900011033937,金针菇(2),食用菌,72,0.501449,0.494267,0.501449,0.007182,True,0.494267
102900005115250,西峡花菇(1),食用菌,102900011034231,奶白菜(份),花叶类,85,0.513591,0.494005,0.513591,0.019587,True,0.494005
102900011016701,芜湖青椒(1),辣椒类,106949711300068,金针菇(袋)(3),食用菌,197,0.511965,0.490613,0.511965,0.021352,True,0.490613
102900005115878,茼蒿,花叶类,106949711300068,金针菇(袋)(3),食用菌,110,0.514844,0.489920,0.514844,0.024924,True,0.489920
102900005116547,金针菇(1),食用菌,102900005116837,平菇,食用菌,253,0.509911,0.489498,0.509911,0.020413,True,0.489498
102900011030097,云南油麦菜(份),花叶类,102900011034224,小青菜(份),花叶类,172,0.489158,0.538001,0.538001,0.048843,True,0.489158
102900011030134,菜心(份),花叶类,102900011032022,小皱皮(份),辣椒类,226,0.521495,0.488519,0.521495,0.032976,True,0.488519
102900005115878,茼蒿,花叶类,106949711300167,金针菇(袋)(2),食用菌,138,0.490715,0.487492,0.490715,0.003223,True,0.487492
102900005116837,平菇,食用菌,106949711300068,金针菇(袋)(3),食用菌,170,0.485247,0.567928,0.567928,0.082680,True,0.485247
102900005116509,青茄子(1),茄类,102900011030905,鱼腥草(份),花叶类,63,0.565396,0.485059,0.565396,0.080337,True,0.485059
102900005115908,菜心,花叶类,102900005116509,青茄子(1),茄类,622,0.484174,0.560892,0.560892,0.076718,True,0.484174
102900005115762,苋菜,花叶类,106971533450003,海鲜菇(包),食用菌,83,0.493269,0.483997,0.493269,0.009271,True,0.483997
102900005116233,红椒(1),辣椒类,102900011034330,双孢菇(盒),食用菌,70,0.746750,0.482751,0.746750,0.263999,True,0.482751
102900011033920,黄心菜(2),花叶类,102900011035771,黄白菜(1),花叶类,68,0.555281,0.482622,0.555281,0.072659,True,0.482622
102900011030097,云南油麦菜(份),花叶类,102900011030110,菠菜(份),花叶类,340,0.481980,0.541007,0.541007,0.059027,True,0.481980
102900005115793,小白菜,花叶类,102900051010455,黄白菜(2),花叶类,467,0.481127,0.625689,0.625689,0.144561,True,0.481127
102900005116233,红椒(1),辣椒类,102900051004294,青线椒,辣椒类,731,0.590137,0.480849,0.590137,0.109287,True,0.480849
102900011034231,奶白菜(份),花叶类,106971533455008,海鲜菇(袋)(3),食用菌,77,0.480403,0.520411,0.520411,0.040008,True,0.480403
102900005115823,上海青,花叶类,102900005125815,杏鲍菇(1),食用菌,450,0.496310,0.479426,0.496310,0.016884,True,0.479426
102900005115786,竹叶菜,花叶类,102900011030905,鱼腥草(份),花叶类,66,0.528552,0.478294,0.528552,0.050257,True,0.478294
102900005115748,白菜苔,花叶类,102900005115823,上海青,花叶类,91,0.477278,0.495965,0.495965,0.018687,True,0.477278
102900011022764,长线茄,茄类,106971533450003,海鲜菇(包),食用菌,81,0.511238,0.476459,0.511238,0.034779,True,0.476459
102900011030110,菠菜(份),花叶类,102900011031100,小米椒(份),辣椒类,379,0.490655,0.475128,0.490655,0.015527,True,0.475128
102900011022030,组合椒系列,辣椒类,106930274220092,蟹味菇(袋),食用菌,69,0.665331,0.475073,0.665331,0.190258,True,0.475073
102900011022764,长线茄,茄类,102900051010455,黄白菜(2),花叶类,411,0.474600,0.493672,0.493672,0.019072,True,0.474600
102900005116943,红杭椒,辣椒类,102900051004294,青线椒,辣椒类,577,0.697755,0.472469,0.697755,0.225286,True,0.472469
102900005116714,西兰花,花菜类,102900011001561,莲蓬(个),水生根茎类,86,0.471494,0.563522,0.563522,0.092027,True,0.471494
102900011030059,云南生菜(份),花叶类,102900011033920,黄心菜(2),花叶类,182,0.526530,0.471006,0.526530,0.055524,True,0.471006
102900011034330,双孢菇(盒),食用菌,106971533450003,海鲜菇(包),食用菌,70,0.469869,0.483799,0.483799,0.013930,True,0.469869
102900005116899,净藕(1),水生根茎类,102900011035771,黄白菜(1),花叶类,67,0.597425,0.469859,0.597425,0.127566,True,0.469859
102900011013274,白玉菇(袋),食用菌,102900011034330,双孢菇(盒),食用菌,229,0.524159,0.469229,0.524159,0.054930,True,0.469229
102900005115786,竹叶菜,花叶类,102900011032848,姜蒜小米椒组合装(小份),辣椒类,217,0.502989,0.469198,0.502989,0.033792,True,0.469198
102900005116257,紫茄子(2),茄类,102900011000328,螺丝椒,辣椒类,856,0.468989,0.512388,0.512388,0.043399,True,0.468989
102900005115779,云南生菜,花叶类,102900005115793,小白菜,花叶类,455,0.468899,0.524745,0.524745,0.055846,True,0.468899
102900005116226,青尖椒,辣椒类,102900011000571,随州泡泡青,花叶类,79,0.498430,0.467797,0.498430,0.030633,True,0.467797
102900005122654,枝江红菜苔,花叶类,102900005125808,小米椒,辣椒类,217,0.555569,0.467281,0.555569,0.088288,True,0.467281
102900005115250,西峡花菇(1),食用菌,102900011016701,芜湖青椒(1),辣椒类,259,0.721446,0.467070,0.721446,0.254376,True,0.467070
102900005116547,金针菇(1),食用菌,102900011009970,青梗散花,花菜类,410,0.536145,0.465981,0.536145,0.070165,True,0.465981
102900005115779,云南生菜,花叶类,102900011009444,大龙茄子,茄类,197,0.465970,0.483248,0.483248,0.017278,True,0.465970
102900011001219,红灯笼椒(1),辣椒类,102900011021842,洪湖莲藕(粉藕),水生根茎类,81,0.693155,0.465395,0.693155,0.227760,True,0.465395
102900005125808,小米椒,辣椒类,102900011031100,小米椒(份),辣椒类,67,0.567935,0.464471,0.567935,0.103463,True,0.464471
102900005116837,平菇,食用菌,102900011021842,洪湖莲藕(粉藕),水生根茎类,128,0.556678,0.463391,0.556678,0.093287,True,0.463391
102900011030134,菜心(份),花叶类,102900011033937,金针菇(2),食用菌,68,0.526029,0.463179,0.526029,0.062850,True,0.463179
102900011016701,芜湖青椒(1),辣椒类,106949711300259,金针菇(盒),食用菌,426,0.636444,0.463141,0.636444,0.173302,True,0.463141
102900005115793,小白菜,花叶类,102900011009444,大龙茄子,茄类,128,0.462995,0.471672,0.471672,0.008677,True,0.462995
102900005115793,小白菜,花叶类,102900011008522,甜白菜,花叶类,224,0.462673,0.584077,0.584077,0.121404,True,0.462673
102900005116837,平菇,食用菌,102900011022030,组合椒系列,辣椒类,112,0.489164,0.461835,0.489164,0.027329,True,0.461835
102900005116257,紫茄子(2),茄类,102900011000571,随州泡泡青,花叶类,142,0.466285,0.461529,0.466285,0.004756,True,0.461529
102900011030110,菠菜(份),花叶类,102900011034231,奶白菜(份),花叶类,212,0.571775,0.460830,0.571775,0.110945,True,0.460830
102900005116714,西兰花,花菜类,102900011032732,高瓜(2),水生根茎类,158,0.460449,0.494924,0.494924,0.034475,True,0.460449
102900005116509,青茄子(1),茄类,102900011009444,大龙茄子,茄类,192,0.533604,0.460420,0.533604,0.073184,True,0.460420
102900005115793,小白菜,花叶类,102900005115908,菜心,花叶类,391,0.459891,0.554663,0.554663,0.094772,True,0.459891
102900011032237,青线椒(份),辣椒类,102900011032732,高瓜(2),水生根茎类,105,0.462429,0.459512,0.462429,0.002917,True,0.459512
102900011013274,白玉菇(袋),食用菌,102900011031926,虫草花(份),食用菌,187,0.475086,0.459441,0.475086,0.015645,True,0.459441
102900005116899,净藕(1),水生根茎类,106949711300167,金针菇(袋)(2),食用菌,214,0.457623,0.530850,0.530850,0.073227,True,0.457623
102900011030141,上海青(份),花叶类,102900011033920,黄心菜(2),花叶类,152,0.511567,0.457243,0.511567,0.054324,True,0.457243
102900011030110,菠菜(份),花叶类,102900011032619,西峡香菇(2),食用菌,61,0.491108,0.456855,0.491108,0.034253,True,0.456855
102900011032251,螺丝椒(份),辣椒类,106971533455008,海鲜菇(袋)(3),食用菌,125,0.456621,0.485379,0.485379,0.028758,True,0.456621
102900011030905,鱼腥草(份),花叶类,102900011034330,双孢菇(盒),食用菌,88,0.644827,0.456462,0.644827,0.188365,True,0.456462
102900005115250,西峡花菇(1),食用菌,102900005116226,青尖椒,辣椒类,74,0.605056,0.456172,0.605056,0.148884,True,0.456172
102900005116899,净藕(1),水生根茎类,106958851400125,海鲜菇(袋)(4),食用菌,313,0.489748,0.456143,0.489748,0.033605,True,0.456143
102900005116257,紫茄子(2),茄类,102900011009444,大龙茄子,茄类,197,0.455662,0.467711,0.467711,0.012049,True,0.455662
102900005115250,西峡花菇(1),食用菌,102900011009970,青梗散花,花菜类,63,0.826725,0.455195,0.826725,0.371530,True,0.455195
102900005122654,枝江红菜苔,花叶类,102900011032367,红灯笼椒(2),辣椒类,63,0.581096,0.453490,0.581096,0.127606,True,0.453490
102900005115984,云南油麦菜,花叶类,102900011022764,长线茄,茄类,391,0.452870,0.511784,0.511784,0.058914,True,0.452870
102900005115885,蔡甸藜蒿,花叶类,102900005116257,紫茄子(2),茄类,293,0.515678,0.452264,0.515678,0.063413,True,0.452264
102900005115984,云南油麦菜,花叶类,102900011009444,大龙茄子,茄类,197,0.452155,0.460351,0.460351,0.008196,True,0.452155
102900011032251,螺丝椒(份),辣椒类,106949711300259,金针菇(盒),食用菌,315,0.452142,0.537489,0.537489,0.085346,True,0.452142
102900005116257,紫茄子(2),茄类,102900005125808,小米椒,辣椒类,584,0.713805,0.450575,0.713805,0.263230,True,0.450575
102900011034330,双孢菇(盒),食用菌,102900051000944,洪湖藕带,水生根茎类,126,0.518638,0.450174,0.518638,0.068464,True,0.450174
102900005116226,青尖椒,辣椒类,102900011009444,大龙茄子,茄类,191,0.450044,0.482574,0.482574,0.032530,True,0.450044
102900005116257,紫茄子(2),茄类,102900005118572,本地上海青,花叶类,61,0.449960,0.489589,0.489589,0.039628,True,0.449960
102900011032237,青线椒(份),辣椒类,102900011032367,红灯笼椒(2),辣椒类,117,0.503818,0.449928,0.503818,0.053890,True,0.449928
102900005115960,大白菜,花叶类,102900011008522,甜白菜,花叶类,248,-0.449919,-0.598781,0.598781,0.148861,True,0.449919
102900011030141,上海青(份),花叶类,102900011032732,高瓜(2),水生根茎类,129,0.449636,0.672800,0.672800,0.223165,True,0.449636
102900005115250,西峡花菇(1),食用菌,102900005115885,蔡甸藜蒿,花叶类,101,0.453058,0.449377,0.453058,0.003681,True,0.449377
102900011016701,芜湖青椒(1),辣椒类,102900051004294,青线椒,辣椒类,524,0.657852,0.448301,0.657852,0.209551,True,0.448301
102900005116714,西兰花,花菜类,102900011034026,枝江青梗散花,花菜类,330,0.448016,0.498856,0.498856,0.050840,True,0.448016
102900005118824,高瓜(1),水生根茎类,102900011032022,小皱皮(份),辣椒类,160,0.449611,0.447957,0.449611,0.001654,True,0.447957
102900005125815,杏鲍菇(1),食用菌,106930274220092,蟹味菇(袋),食用菌,96,0.617083,0.447389,0.617083,0.169693,True,0.447389
102900011021842,洪湖莲藕(粉藕),水生根茎类,102900011022030,组合椒系列,辣椒类,69,0.584243,0.447092,0.584243,0.137151,True,0.447092
102900011023464,小青菜(1),花叶类,106971533450003,海鲜菇(包),食用菌,117,0.446523,0.504109,0.504109,0.057586,True,0.446523
102900011034224,小青菜(份),花叶类,102900051010455,黄白菜(2),花叶类,100,0.446019,0.466464,0.466464,0.020445,True,0.446019
102900005115823,上海青,花叶类,102900011009444,大龙茄子,茄类,197,0.445942,0.478569,0.478569,0.032627,True,0.445942
102900005118831,娃娃菜,花叶类,102900011033906,保康高山大白菜,花叶类,85,0.445864,0.548178,0.548178,0.102314,True,0.445864
102900005115250,西峡花菇(1),食用菌,102900005116233,红椒(1),辣椒类,164,0.874760,0.445408,0.874760,0.429352,True,0.445408
102900005115878,茼蒿,花叶类,102900011035771,黄白菜(1),花叶类,61,0.534522,0.445120,0.534522,0.089402,True,0.445120
102900005115908,菜心,花叶类,102900011009444,大龙茄子,茄类,195,0.473780,0.444464,0.473780,0.029316,True,0.444464
102900005116943,红杭椒,辣椒类,102900011008522,甜白菜,花叶类,266,0.443965,0.445330,0.445330,0.001365,True,0.443965
102900011031100,小米椒(份),辣椒类,106971533455008,海鲜菇(袋)(3),食用菌,191,0.443498,0.443547,0.443547,0.000048,True,0.443498
102900005115984,云南油麦菜,花叶类,102900011029176,辣妹子,辣椒类,73,0.637576,0.443265,0.637576,0.194311,True,0.443265
102900011030110,菠菜(份),花叶类,102900011032251,螺丝椒(份),辣椒类,309,0.442784,0.477814,0.477814,0.035029,True,0.442784
102900011030141,上海青(份),花叶类,102900011034224,小青菜(份),花叶类,167,0.469488,0.442548,0.469488,0.026940,True,0.442548
102900011033920,黄心菜(2),花叶类,102900011034231,奶白菜(份),花叶类,133,0.546033,0.441840,0.546033,0.104193,True,0.441840
102900005116899,净藕(1),水生根茎类,102900011034224,小青菜(份),花叶类,162,0.441353,0.461039,0.461039,0.019686,True,0.441353
102900011009277,荸荠,水生根茎类,102900011030134,菜心(份),花叶类,74,0.522061,0.441100,0.522061,0.080961,True,0.441100
102900005115823,上海青,花叶类,106971533450003,海鲜菇(包),食用菌,117,0.440876,0.502404,0.502404,0.061527,True,0.440876
102900011032022,小皱皮(份),辣椒类,102900011032732,高瓜(2),水生根茎类,153,0.440420,0.451945,0.451945,0.011525,True,0.440420
102900005115779,云南生菜,花叶类,102900005115823,上海青,花叶类,779,0.439221,0.507385,0.507385,0.068164,True,0.439221
102900005115779,云南生菜,花叶类,102900011008522,甜白菜,花叶类,289,0.438871,0.554875,0.554875,0.116005,True,0.438871
102900005122654,枝江红菜苔,花叶类,106971533455008,海鲜菇(袋)(3),食用菌,73,0.537025,0.438634,0.537025,0.098391,True,0.438634
102900011016701,芜湖青椒(1),辣椒类,102900011032787,竹叶菜(份),花叶类,75,0.450248,0.438610,0.450248,0.011639,True,0.438610
102900011033920,黄心菜(2),花叶类,102900011034026,枝江青梗散花,花菜类,198,0.438268,0.446548,0.446548,0.008280,True,0.438268
102900011022849,本地黄心油菜,花叶类,102900011032251,螺丝椒(份),辣椒类,111,0.437220,0.456688,0.456688,0.019467,True,0.437220
102900005125815,杏鲍菇(1),食用菌,102900051010455,黄白菜(2),花叶类,446,0.436617,0.549568,0.549568,0.112951,True,0.436617
102900005115748,白菜苔,花叶类,102900005116226,青尖椒,辣椒类,80,0.449521,0.435396,0.449521,0.014125,True,0.435396
102900005115250,西峡花菇(1),食用菌,102900005116714,西兰花,花菜类,292,0.560238,0.434361,0.560238,0.125877,True,0.434361
102900005122654,枝江红菜苔,花叶类,102900011032237,青线椒(份),辣椒类,98,0.555968,0.434329,0.555968,0.121640,True,0.434329
102900005116547,金针菇(1),食用菌,102900051004294,青线椒,辣椒类,437,0.557377,0.434241,0.557377,0.123136,True,0.434241
102900011032251,螺丝椒(份),辣椒类,102900051004294,青线椒,辣椒类,64,0.610878,0.433834,0.610878,0.177044,True,0.433834
102900005115823,上海青,花叶类,102900005115908,菜心,花叶类,696,0.433190,0.512293,0.512293,0.079104,True,0.433190
102900011022849,本地黄心油菜,花叶类,106949711300259,金针菇(盒),食用菌,109,0.463414,0.432932,0.463414,0.030482,True,0.432932
102900011032732,高瓜(2),水生根茎类,102900011034224,小青菜(份),花叶类,113,0.432849,0.451053,0.451053,0.018204,True,0.432849
102900011009277,荸荠,水生根茎类,102900011030097,云南油麦菜(份),花叶类,93,0.438523,0.432633,0.438523,0.005890,True,0.432633
102900011031100,小米椒(份),辣椒类,106971533450003,海鲜菇(包),食用菌,68,0.431748,0.474296,0.474296,0.042548,True,0.431748
102900005115878,茼蒿,花叶类,102900005119098,双孢菇,食用菌,79,0.561958,0.431353,0.561958,0.130604,True,0.431353
102900005116530,西峡香菇(1),食用菌,106949711300167,金针菇(袋)(2),食用菌,159,0.430784,0.458200,0.458200,0.027416,True,0.430784
102900011030059,云南生菜(份),花叶类,102900011032732,高瓜(2),水生根茎类,144,0.429473,0.496058,0.496058,0.066585,True,0.429473
102900011016701,芜湖青椒(1),辣椒类,102900011033920,黄心菜(2),花叶类,219,0.469803,0.428288,0.469803,0.041515,True,0.428288
102900005115960,大白菜,花叶类,102900011013274,白玉菇(袋),食用菌,386,0.438127,0.428124,0.438127,0.010003,True,0.428124
102900011000571,随州泡泡青,花叶类,102900051010455,黄白菜(2),花叶类,104,0.426235,0.573014,0.573014,0.146779,True,0.426235
102900011018095,虫草花(袋),食用菌,106930274220092,蟹味菇(袋),食用菌,64,0.793222,0.425464,0.793222,0.367758,True,0.425464
102900005115250,西峡花菇(1),食用菌,102900005115984,云南油麦菜,花叶类,167,0.424835,0.474025,0.474025,0.049190,True,0.424835
102900011012994,杏鲍菇(袋),食用菌,102900011021842,洪湖莲藕(粉藕),水生根茎类,124,0.802472,0.424431,0.802472,0.378041,True,0.424431
102900011031995,姬菇(份),食用菌,102900011032251,螺丝椒(份),辣椒类,84,0.426770,0.424411,0.426770,0.002359,True,0.424411
