单品编码_A,单品名称_A,分类名称_A,单品编码_B,单品名称_B,分类名称_B,共同有销售记录日数,Pearson相关,Spearman相关,最大绝对相关,Pearson_Spearman绝对差,Pearson_Spearman同号
102900005116233,红椒(1),辣椒类,102900005125808,小米椒,辣椒类,570,0.807235,0.339066,0.807235,0.468169,True
102900005116233,红椒(1),辣椒类,102900011021842,洪湖莲藕(粉藕),水生根茎类,188,0.805605,0.366311,0.805605,0.439295,True
102900011016701,芜湖青椒(1),辣椒类,106930274220092,蟹味菇(袋),食用菌,65,0.802947,0.340310,0.802947,0.462637,True
102900011012994,杏鲍菇(袋),食用菌,102900011021842,洪湖莲藕(粉藕),水生根茎类,124,0.802472,0.424431,0.802472,0.378041,True
102900005115250,西峡花菇(1),食用菌,102900011001219,红灯笼椒(1),辣椒类,36,0.799924,0.048649,0.799924,0.751276,True
102900011018095,虫草花(袋),食用菌,106930274220092,蟹味菇(袋),食用菌,64,0.793222,0.425464,0.793222,0.367758,True
102900005116547,金针菇(1),食用菌,106930274220092,蟹味菇(袋),食用菌,96,0.792641,0.261283,0.792641,0.531358,True
102900005116257,紫茄子(2),茄类,106930274220092,蟹味菇(袋),食用菌,99,0.792489,0.294063,0.792489,0.498426,True
102900011030134,菜心(份),花叶类,102900011033234,红薯尖(份),花叶类,51,0.783091,0.788970,0.788970,0.005879,True
102900005125808,小米椒,辣椒类,102900011021842,洪湖莲藕(粉藕),水生根茎类,160,0.788548,0.395328,0.788548,0.393220,True
102900011030042,枝江红菜苔(份),花叶类,102900011030110,菠菜(份),花叶类,49,0.727872,0.787390,0.787390,0.059518,True
102900005117209,七彩椒(1),辣椒类,102900011031100,小米椒(份),辣椒类,36,0.787251,0.246893,0.787251,0.540358,True
102900005125808,小米椒,辣椒类,102900011018095,虫草花(袋),食用菌,139,0.776217,0.383673,0.776217,0.392544,True
102900005115250,西峡花菇(1),食用菌,102900051004294,青线椒,辣椒类,162,0.774734,0.328354,0.774734,0.446380,True
102900005116943,红杭椒,辣椒类,102900011021842,洪湖莲藕(粉藕),水生根茎类,152,0.774160,0.263516,0.774160,0.510643,True
102900005115250,西峡花菇(1),食用菌,102900005116837,平菇,食用菌,68,0.772027,0.609994,0.772027,0.162033,True
102900011030097,云南油麦菜(份),花叶类,102900051004294,青线椒,辣椒类,100,0.771893,0.354258,0.771893,0.417635,True
102900011030134,菜心(份),花叶类,102900011034200,苋菜(份),花叶类,48,0.740181,0.770754,0.770754,0.030573,True
102900011032022,小皱皮(份),辣椒类,102900011033234,红薯尖(份),花叶类,50,0.737587,0.770619,0.770619,0.033032,True
106957634300010,白玉菇(盒),食用菌,106971533455008,海鲜菇(袋)(3),食用菌,40,0.768961,0.542733,0.768961,0.226228,True
102900011018095,虫草花(袋),食用菌,102900011021842,洪湖莲藕(粉藕),水生根茎类,74,0.768662,0.292062,0.768662,0.476600,True
102900005116714,西兰花,花菜类,102900011033234,红薯尖(份),花叶类,58,0.635813,0.766547,0.766547,0.130734,True
102900005116233,红椒(1),辣椒类,102900005116943,红杭椒,辣椒类,575,0.765014,0.365561,0.765014,0.399452,True
102900011030059,云南生菜(份),花叶类,102900011033234,红薯尖(份),花叶类,51,0.764215,0.764153,0.764215,0.000062,True
102900005116714,西兰花,花菜类,102900011033982,紫茄子(1),茄类,44,0.762802,0.542623,0.762802,0.220179,True
102900005116257,紫茄子(2),茄类,102900011018095,虫草花(袋),食用菌,140,0.759595,0.388191,0.759595,0.371403,True
102900011033975,青茄子(2),茄类,102900011033982,紫茄子(1),茄类,33,0.757667,0.368513,0.757667,0.389153,True
102900011009277,荸荠,水生根茎类,106949711300259,金针菇(盒),食用菌,74,0.757567,0.635367,0.757567,0.122200,True
102900005115250,西峡花菇(1),食用菌,102900011012994,杏鲍菇(袋),食用菌,52,0.757143,0.278246,0.757143,0.478897,True
102900011009277,荸荠,水生根茎类,102900011030905,鱼腥草(份),花叶类,32,0.756922,0.316403,0.756922,0.440520,True
102900005116233,红椒(1),辣椒类,102900011018095,虫草花(袋),食用菌,140,0.755931,0.277421,0.755931,0.478509,True
102900011030141,上海青(份),花叶类,102900011033234,红薯尖(份),花叶类,55,0.713920,0.753382,0.753382,0.039462,True
102900005116233,红椒(1),辣椒类,102900011034330,双孢菇(盒),食用菌,70,0.746750,0.482751,0.746750,0.263999,True
102900005115960,大白菜,花叶类,102900005116837,平菇,食用菌,262,0.699890,0.745773,0.745773,0.045883,True
102900011016701,芜湖青椒(1),辣椒类,102900011016909,花茄子,茄类,47,0.744981,0.373728,0.744981,0.371253,True
102900005116226,青尖椒,辣椒类,106957634300010,白玉菇(盒),食用菌,37,0.743738,0.316104,0.743738,0.427634,True
102900005116233,红椒(1),辣椒类,106957634300010,白玉菇(盒),食用菌,42,0.740677,0.444160,0.740677,0.296518,True
102900005116233,红椒(1),辣椒类,102900005117209,七彩椒(1),辣椒类,267,0.740321,0.064478,0.740321,0.675843,True
102900005118817,菠菜,花叶类,102900011030905,鱼腥草(份),花叶类,40,0.739336,0.179932,0.739336,0.559403,True
102900011030059,云南生菜(份),花叶类,102900011032787,竹叶菜(份),花叶类,64,0.644105,0.738071,0.738071,0.093966,True
102900005115960,大白菜,花叶类,102900011011546,海鲜菇(袋)(1),食用菌,170,0.653668,0.736919,0.736919,0.083251,True
102900005115625,本地小毛白菜,花叶类,102900005116899,净藕(1),水生根茎类,47,0.736404,0.458514,0.736404,0.277890,True
102900011030141,上海青(份),花叶类,102900011032787,竹叶菜(份),花叶类,66,0.663672,0.735355,0.735355,0.071683,True
102900011030097,云南油麦菜(份),花叶类,102900011033234,红薯尖(份),花叶类,55,0.732123,0.728521,0.732123,0.003602,True
102900011021842,洪湖莲藕(粉藕),水生根茎类,106930274220092,蟹味菇(袋),食用菌,82,0.728895,0.374155,0.728895,0.354740,True
102900005116899,净藕(1),水生根茎类,106930274220092,蟹味菇(袋),食用菌,98,0.728005,0.405402,0.728005,0.322602,True
102900011030097,云南油麦菜(份),花叶类,102900011032787,竹叶菜(份),花叶类,63,0.652798,0.727826,0.727826,0.075029,True
102900011030059,云南生菜(份),花叶类,102900011030097,云南油麦菜(份),花叶类,387,0.727346,0.720621,0.727346,0.006725,True
102900005115625,本地小毛白菜,花叶类,102900005116714,西兰花,花菜类,47,0.726480,0.402255,0.726480,0.324225,True
102900005117209,七彩椒(1),辣椒类,106930274220092,蟹味菇(袋),食用菌,34,0.726213,0.001790,0.726213,0.724423,True
102900005115625,本地小毛白菜,花叶类,102900011016701,芜湖青椒(1),辣椒类,47,0.725428,0.345013,0.725428,0.380415,True
102900005125815,杏鲍菇(1),食用菌,102900011009444,大龙茄子,茄类,196,0.725320,0.634974,0.725320,0.090346,True
102900005116257,紫茄子(2),茄类,102900011021842,洪湖莲藕(粉藕),水生根茎类,349,0.724969,0.252350,0.724969,0.472619,True
102900011030134,菜心(份),花叶类,102900011030141,上海青(份),花叶类,247,0.722674,0.576723,0.722674,0.145952,True
102900011032367,红灯笼椒(2),辣椒类,102900011033982,紫茄子(1),茄类,33,0.721577,0.324225,0.721577,0.397352,True
102900005115250,西峡花菇(1),食用菌,102900011016701,芜湖青椒(1),辣椒类,259,0.721446,0.467070,0.721446,0.254376,True
102900011032022,小皱皮(份),辣椒类,102900011032787,竹叶菜(份),花叶类,62,0.692154,0.719642,0.719642,0.027488,True
102900005116943,红杭椒,辣椒类,102900011016701,芜湖青椒(1),辣椒类,367,0.719482,0.396981,0.719482,0.322501,True
102900005125808,小米椒,辣椒类,102900011030134,菜心(份),花叶类,40,0.718203,0.406563,0.718203,0.311640,True
102900011001219,红灯笼椒(1),辣椒类,106949711300259,金针菇(盒),食用菌,36,0.717514,0.378451,0.717514,0.339063,True
102900005125808,小米椒,辣椒类,102900011016701,芜湖青椒(1),辣椒类,365,0.716171,0.386581,0.716171,0.329589,True
102900005116943,红杭椒,辣椒类,102900005125808,小米椒,辣椒类,515,0.715821,0.319188,0.715821,0.396633,True
102900005116943,红杭椒,辣椒类,102900011018095,虫草花(袋),食用菌,137,0.714463,0.298951,0.714463,0.415512,True
102900005116257,紫茄子(2),茄类,102900005125808,小米椒,辣椒类,584,0.713805,0.450575,0.713805,0.263230,True
102900005116899,净藕(1),水生根茎类,102900011033234,红薯尖(份),花叶类,58,0.684666,0.713006,0.713006,0.028340,True
102900011030097,云南油麦菜(份),花叶类,102900011030141,上海青(份),花叶类,250,0.655674,0.713002,0.713002,0.057327,True
102900011032787,竹叶菜(份),花叶类,102900011033234,红薯尖(份),花叶类,52,0.688613,0.712001,0.712001,0.023387,True
102900011018095,虫草花(袋),食用菌,102900051004294,青线椒,辣椒类,140,0.711724,0.305204,0.711724,0.406520,True
102900005115625,本地小毛白菜,花叶类,102900005116257,紫茄子(2),茄类,36,0.709358,0.110174,0.709358,0.599184,True
102900005116509,青茄子(1),茄类,106957634300010,白玉菇(盒),食用菌,37,0.709262,0.491512,0.709262,0.217750,True
102900005116547,金针菇(1),食用菌,102900011018095,虫草花(袋),食用菌,140,0.708527,0.390192,0.708527,0.318335,True
102900005115250,西峡花菇(1),食用菌,102900005125815,杏鲍菇(1),食用菌,59,0.705144,0.402022,0.705144,0.303121,True
102900011011546,海鲜菇(袋)(1),食用菌,106949711300068,金针菇(袋)(3),食用菌,40,0.704273,0.418763,0.704273,0.285510,True
102900011030134,菜心(份),花叶类,102900011032787,竹叶菜(份),花叶类,70,0.653643,0.698709,0.698709,0.045066,True
102900005118831,娃娃菜,花叶类,106949711300259,金针菇(盒),食用菌,232,0.698620,0.642427,0.698620,0.056193,True
102900005116943,红杭椒,辣椒类,102900051004294,青线椒,辣椒类,577,0.697755,0.472469,0.697755,0.225286,True
102900005115779,云南生菜,花叶类,102900011029176,辣妹子,辣椒类,72,0.697186,0.528623,0.697186,0.168563,True
102900011032244,红尖椒(份),辣椒类,102900011033975,青茄子(2),茄类,42,0.696426,0.386104,0.696426,0.310322,True
102900011032732,高瓜(2),水生根茎类,102900011032787,竹叶菜(份),花叶类,41,0.626368,0.696348,0.696348,0.069981,True
102900011016701,芜湖青椒(1),辣椒类,102900011021842,洪湖莲藕(粉藕),水生根茎类,342,0.694765,0.341393,0.694765,0.353372,True
102900011012994,杏鲍菇(袋),食用菌,102900011016701,芜湖青椒(1),辣椒类,193,0.693280,0.223059,0.693280,0.470222,True
102900011001219,红灯笼椒(1),辣椒类,102900011021842,洪湖莲藕(粉藕),水生根茎类,81,0.693155,0.465395,0.693155,0.227760,True
102900011021842,洪湖莲藕(粉藕),水生根茎类,102900051004294,青线椒,辣椒类,177,0.692132,0.398598,0.692132,0.293534,True
102900005116257,紫茄子(2),茄类,102900005116943,红杭椒,辣椒类,587,0.691758,0.416256,0.691758,0.275502,True
102900011033920,黄心菜(2),花叶类,102900011033982,紫茄子(1),茄类,38,0.689185,0.675056,0.689185,0.014129,True

