单品编码,单品名称,分类编码,分类名称,总销量_kg,总销售额_元,有销售日数,有销量日均销量_kg,日销量中位数_kg,日销量标准差_kg,最大日销量_kg,CV_有销量日,首次销售日期,最后销售日期,活跃跨度_日历日,活跃跨度_有销售记录日,销售天数占活跃跨度比例,销量排名,累计销量占比
102900011008522,甜白菜,1011010101,花叶类,4689.466000,35653.002000,340,13.792547,11.350500,11.182601,71.582000,0.810771,2020-07-01,2022-10-21,843,840,0.403321,33,0.725669
102900005115908,菜心,1011010101,花叶类,4498.148000,32794.011700,711,6.326509,4.757000,5.905560,52.276000,0.933463,2020-07-01,2023-06-28,1093,1083,0.650503,34,0.735214
102900011034330,双孢菇(盒),1011010801,食用菌,4233.000000,22628.500000,293,14.447099,13.000000,6.976583,57.000000,0.482905,2022-05-25,2023-06-30,402,395,0.728856,35,0.744196
102900005115878,茼蒿,1011010101,花叶类,4113.244000,26892.062800,514,8.002420,6.996000,5.278616,43.262000,0.659627,2020-09-16,2023-05-06,963,953,0.533749,36,0.752924
102900011034224,小青菜(份),1011010101,花叶类,4059.000000,12225.800000,179,22.675978,22.000000,13.830679,70.000000,0.609926,2022-04-18,2023-02-20,309,302,0.579288,37,0.761536
102900005115861,牛首油菜,1011010101,花叶类,3840.204000,15187.686500,285,13.474400,9.951000,9.684971,65.999000,0.718768,2020-07-10,2022-03-01,600,597,0.475000,38,0.769685
102900005116509,青茄子(1),1011010501,茄类,3519.011000,23370.191100,845,4.164510,2.753000,4.250836,34.252000,1.020729,2020-07-01,2023-06-29,1094,1084,0.772395,39,0.777152
102900005116233,红椒(1),1011010504,辣椒类,3459.754000,57313.619700,755,4.582456,2.842000,9.530007,113.844000,2.079672,2020-07-01,2023-03-16,989,979,0.763397,40,0.784493
102900011023464,小青菜(1),1011010101,花叶类,3270.155000,18793.674800,492,6.646657,6.506500,3.503034,24.301000,0.527037,2021-08-28,2023-06-30,672,664,0.732143,41,0.791432
106949711300167,金针菇(袋)(2),1011010801,食用菌,3181.000000,9989.000000,215,14.795349,12.000000,11.396629,77.000000,0.770285,2021-09-06,2022-09-11,371,370,0.579515,42,0.798182
102900011030141,上海青(份),1011010101,花叶类,3071.000000,9090.900000,287,10.700348,7.000000,10.213495,118.000000,0.954501,2021-12-16,2023-02-18,430,422,0.667442,43,0.804698
102900011013274,白玉菇(袋),1011010801,食用菌,2927.000000,20492.900000,698,4.193410,3.000000,3.891441,48.000000,0.927990,2020-08-07,2023-06-30,1058,1048,0.659735,44,0.810909
102900005116790,黄心菜(1),1011010101,花叶类,2918.477000,17981.699100,447,6.529031,4.929000,7.294148,68.960000,1.117187,2020-07-01,2023-04-15,1019,1009,0.438665,45,0.817102
102900005115250,西峡花菇(1),1011010801,食用菌,2813.715000,60182.664500,297,9.473788,6.936000,11.287717,125.417000,1.191468,2020-09-18,2023-06-30,1016,1006,0.292323,46,0.823072
106949711300068,金针菇(袋)(3),1011010801,食用菌,2549.000000,8434.900000,258,9.879845,6.000000,10.335100,88.000000,1.046079,2020-12-08,2021-09-08,275,273,0.938182,47,0.828481
102900005116837,平菇,1011010801,食用菌,2543.490000,19645.379200,362,7.026215,6.586500,4.908172,45.035000,0.698551,2020-07-07,2023-02-06,945,935,0.383069,48,0.833878
102900011022764,长线茄,1011010501,茄类,2497.527000,26313.113400,454,5.501161,4.471000,4.511460,50.208000,0.820092,2021-01-30,2023-06-30,882,872,0.514739,49,0.839177
102900005125815,杏鲍菇(1),1011010801,食用菌,2405.298000,24374.956600,452,5.321456,3.998000,3.961500,42.436000,0.744439,2020-07-01,2023-05-22,1056,1046,0.428030,50,0.844281
102900011032237,青线椒(份),1011010504,辣椒类,2307.000000,9473.800000,280,8.239286,7.000000,6.293584,37.000000,0.763851,2022-02-07,2023-06-26,505,498,0.554455,51,0.849177
102900051004294,青线椒,1011010504,辣椒类,2220.351000,30879.517400,747,2.972357,2.583000,2.368318,29.197000,0.796781,2020-07-01,2023-01-26,940,930,0.794681,52,0.853888
102900011001813,金针菇(袋)(1),1011010801,食用菌,2150.000000,6272.500000,123,17.479675,10.000000,31.494301,279.000000,1.801767,2020-07-05,2021-09-28,451,449,0.272727,53,0.858450
106958851400125,海鲜菇(袋)(4),1011010801,食用菌,2150.000000,7987.600000,314,6.847134,5.000000,5.612817,45.000000,0.819732,2020-12-29,2022-01-16,384,382,0.817708,54,0.863012
102900011001561,莲蓬(个),1011010402,水生根茎类,2095.000000,4523.000000,86,24.360465,20.000000,18.602285,80.000000,0.763626,2020-07-23,2022-09-18,788,785,0.109137,55,0.867457
102900011030134,菜心(份),1011010101,花叶类,2053.000000,6609.800000,275,7.465455,6.000000,6.162763,72.000000,0.825504,2021-12-16,2023-03-09,449,441,0.612472,56,0.871814
102900011033920,黄心菜(2),1011010101,花叶类,1883.243000,13238.989800,223,8.445036,7.557000,6.792595,46.499000,0.804330,2022-04-17,2023-06-22,432,425,0.516204,57,0.875810
102900011032848,姜蒜小米椒组合装(小份),1011010504,辣椒类,1868.000000,7547.800000,366,5.103825,4.000000,3.617331,25.000000,0.708749,2022-03-16,2023-06-30,472,465,0.775424,58,0.879773
106971533455008,海鲜菇(袋)(3),1011010801,食用菌,1776.000000,6440.000000,240,7.400000,6.000000,5.422563,30.000000,0.732779,2022-01-13,2023-04-24,467,459,0.513919,59,0.883542
102900005115793,小白菜,1011010101,花叶类,1709.163000,26949.083500,478,3.575655,2.929000,2.491591,11.493000,0.696821,2020-07-01,2023-02-20,965,955,0.495337,60,0.887169
102900011009277,荸荠,1011010402,水生根茎类,1672.013000,10674.927400,213,7.849826,5.629000,8.086891,63.326000,1.030200,2020-12-02,2023-02-09,800,790,0.266250,61,0.890716
102900005115946,木耳菜,1011010101,花叶类,1567.465000,11105.727600,421,3.723195,3.222000,2.274007,16.849000,0.610768,2020-07-01,2023-06-30,1095,1085,0.384475,62,0.894042
102900011006689,东门口小白菜,1011010101,花叶类,1543.882000,8014.438200,435,3.549154,2.782000,2.574148,15.100000,0.725285,2020-07-02,2022-05-19,687,684,0.633188,63,0.897318
102900005125808,小米椒,1011010504,辣椒类,1447.586000,40934.015700,585,2.474506,2.112000,2.282865,30.453000,0.922554,2020-07-01,2023-05-02,1036,1026,0.564672,64,0.900390
102900011022849,本地黄心油菜,1011010101,花叶类,1375.887000,4139.897800,115,11.964235,10.558000,7.355141,35.351000,0.614761,2021-02-05,2023-01-10,705,696,0.163121,65,0.903310
102900011012994,杏鲍菇(袋),1011010801,食用菌,1343.000000,7085.200000,327,4.107034,2.000000,7.625686,111.000000,1.856738,2020-08-07,2023-02-11,919,909,0.355822,66,0.906159
102900011033944,杏鲍菇(2),1011010801,食用菌,1304.983000,15394.963800,293,4.453867,4.145000,2.594693,17.368000,0.582571,2022-04-18,2023-05-24,402,395,0.728856,67,0.908928
102900011030912,海鲜菇(份),1011010801,食用菌,1303.000000,8203.800000,162,8.043210,8.000000,5.376910,37.000000,0.668503,2022-02-08,2023-01-03,330,324,0.490909,68,0.911693
106971533450003,海鲜菇(包),1011010801,食用菌,1303.000000,4177.800000,119,10.949580,11.000000,6.029375,25.000000,0.550649,2021-10-11,2023-06-30,628,620,0.189490,69,0.914458
102900011011546,海鲜菇(袋)(1),1011010801,食用菌,1266.000000,5262.000000,172,7.360465,5.000000,7.253010,57.000000,0.985401,2020-07-14,2021-09-18,432,430,0.398148,70,0.917144
102900011034439,青红杭椒组合装(份),1011010504,辣椒类,1258.000000,4834.600000,228,5.517544,5.000000,3.876354,24.000000,0.702551,2022-07-26,2023-06-30,340,333,0.670588,71,0.919814
102900005116226,青尖椒,1011010504,辣椒类,1187.429000,13371.940700,617,1.924520,1.646000,1.426502,12.215000,0.741225,2020-07-01,2023-04-30,1034,1024,0.596712,72,0.922333
102900005118824,高瓜(1),1011010402,水生根茎类,1179.956000,16266.764700,544,2.169037,1.780000,1.625209,10.501000,0.749277,2020-07-01,2023-06-30,1095,1085,0.496804,73,0.924837
102900011009444,大龙茄子,1011010501,茄类,1167.218000,10233.744600,197,5.924964,4.461000,4.987004,34.276000,0.841694,2020-07-05,2021-06-16,347,345,0.567723,74,0.927314
102900011031926,虫草花(份),1011010801,食用菌,1109.000000,5935.400000,245,4.526531,4.000000,3.092215,28.000000,0.683131,2022-01-19,2023-06-30,528,520,0.464015,75,0.929667
102900011032787,竹叶菜(份),1011010101,花叶类,1077.000000,2277.400000,77,13.987013,6.000000,14.112791,59.000000,1.008993,2022-03-13,2022-09-03,175,175,0.440000,76,0.931952
102900011001806,姬菇(包),1011010801,食用菌,1073.000000,6623.900000,359,2.988858,2.000000,2.127208,15.000000,0.711713,2020-07-16,2023-01-15,914,905,0.392779,77,0.934229
102900051000463,圆茄子(2),1011010501,茄类,1047.689000,7804.088600,501,2.091196,1.459000,2.209837,18.819000,1.056734,2020-08-27,2023-06-30,1038,1028,0.482659,78,0.936452
102900011018095,虫草花(袋),1011010801,食用菌,978.000000,5973.000000,141,6.936170,6.000000,4.859766,41.000000,0.700641,2020-10-16,2021-03-14,150,148,0.940000,79,0.938527
102900011032244,红尖椒(份),1011010504,辣椒类,953.000000,5585.100000,246,3.873984,3.000000,2.661205,16.000000,0.686943,2022-02-12,2023-03-14,396,389,0.621212,80,0.940549
102900005115885,蔡甸藜蒿,1011010101,花叶类,941.188000,13268.164100,303,3.106231,2.298000,2.656221,18.800000,0.855127,2020-09-13,2023-04-23,953,943,0.317943,81,0.942547
102900011031582,青尖椒(份),1011010504,辣椒类,932.000000,3243.500000,193,4.829016,4.000000,3.184727,22.000000,0.659498,2022-01-08,2023-01-07,365,358,0.528767,82,0.944524
102900005115168,牛首生菜,1011010101,花叶类,899.837000,3506.088600,102,8.821931,7.502000,5.002378,27.251000,0.567039,2020-10-30,2023-05-30,943,933,0.108165,83,0.946434
102900011035078,红椒(2),1011010504,辣椒类,769.634000,12944.367000,288,2.672340,2.352500,1.772225,12.320000,0.663173,2022-08-14,2023-06-30,321,314,0.897196,84,0.948067
102900051000944,洪湖藕带,1011010402,水生根茎类,745.554000,21463.044200,258,2.889744,2.338500,2.206862,11.218000,0.763688,2020-07-01,2023-06-30,1095,1085,0.235616,85,0.949649
102900011030929,鲜木耳(份),1011010801,食用菌,741.000000,1607.100000,182,4.071429,3.000000,2.577068,19.000000,0.632964,2022-07-04,2023-06-26,358,351,0.508380,86,0.951221
102900011006948,外地茼蒿,1011010101,花叶类,732.615000,11699.693000,269,2.723476,2.344000,1.897267,11.003000,0.696635,2020-07-01,2023-06-27,1092,1082,0.246337,87,0.952775
102900011033234,红薯尖(份),1011010101,花叶类,727.000000,1421.700000,58,12.534483,13.000000,9.279700,35.000000,0.740334,2022-03-28,2022-09-04,161,161,0.360248,88,0.954318
102900005115748,白菜苔,1011010101,花叶类,718.676000,2877.129600,92,7.811696,6.700000,5.749158,23.170000,0.735968,2020-11-23,2023-03-16,844,834,0.109005,89,0.955843
106930274620090,海鲜菇(袋)(2),1011010801,食用菌,709.000000,2931.200000,51,13.901961,12.000000,7.744043,40.000000,0.557047,2022-12-25,2023-02-18,56,55,0.910714,90,0.957347
102900011032213,红杭椒(份),1011010504,辣椒类,708.000000,3404.100000,192,3.687500,3.000000,2.764064,15.000000,0.749577,2022-02-08,2023-01-28,355,348,0.540845,91,0.958850
102900011031995,姬菇(份),1011010801,食用菌,683.000000,2186.700000,100,6.830000,6.000000,4.415434,21.000000,0.646476,2022-01-25,2022-11-05,285,282,0.350877,92,0.960299
102900011000571,随州泡泡青,1011010101,花叶类,675.221000,2840.267400,142,4.755077,3.609000,4.290734,28.465000,0.902348,2020-12-03,2023-02-18,808,798,0.175743,93,0.961732
102900005116943,红杭椒,1011010504,辣椒类,659.161000,15126.958500,588,1.121022,0.877000,1.273827,18.426000,1.136308,2020-07-01,2023-03-01,974,964,0.603696,94,0.963130
102900011022030,组合椒系列,1011010504,辣椒类,643.000000,9432.700000,176,3.653409,3.000000,3.366947,31.000000,0.921590,2021-01-22,2021-08-22,213,211,0.826291,95,0.964495
102900005119098,双孢菇,1011010801,食用菌,628.043000,12961.945300,223,2.816336,2.848000,1.332460,7.346000,0.473118,2020-09-18,2021-10-05,383,381,0.582245,96,0.965828
102900005118572,本地上海青,1011010101,花叶类,596.697000,1487.573200,61,9.781918,8.727000,5.662083,27.890000,0.578832,2020-10-06,2022-11-06,762,757,0.080052,97,0.967094
102900011030103,茼蒿(份),1011010101,花叶类,587.000000,1360.000000,83,7.072289,8.000000,2.644752,14.000000,0.373960,2021-12-16,2022-03-20,95,94,0.873684,98,0.968339
102900005119944,海鲜菇(1),1011010801,食用菌,502.504000,7745.609100,326,1.541423,1.482500,0.816176,4.779000,0.529495,2020-07-01,2021-09-25,452,450,0.721239,99,0.969405
102900011033937,金针菇(2),1011010801,食用菌,473.315000,5685.563800,89,5.318146,5.185000,3.007957,14.415000,0.565603,2022-04-17,2022-12-16,244,238,0.364754,100,0.970410
102900011030905,鱼腥草(份),1011010101,花叶类,470.000000,2190.200000,130,3.615385,2.500000,3.216683,22.000000,0.889721,2022-08-29,2023-04-17,232,225,0.560345,101,0.971407
102900011032206,青杭椒(份),1011010504,辣椒类,457.000000,1423.100000,110,4.154545,3.000000,3.139527,13.000000,0.755685,2022-02-08,2022-09-26,231,231,0.476190,102,0.972377
102900011032732,高瓜(2),1011010402,水生根茎类,449.856000,8969.136300,159,2.829283,1.838000,2.400637,11.046000,0.848496,2022-03-15,2023-06-30,473,466,0.336152,103,0.973331
102900011010891,野藕(1),1011010402,水生根茎类,449.754000,4668.038400,164,2.742402,2.290000,1.961898,10.203000,0.715394,2020-08-27,2023-06-05,1013,1003,0.161895,104,0.974286
102900005116219,红尖椒,1011010504,辣椒类,439.567000,6426.700000,314,1.399895,1.071500,1.159918,7.756000,0.828575,2020-07-30,2023-04-13,988,978,0.317814,105,0.975218
102900011034200,苋菜(份),1011010101,花叶类,426.000000,1171.200000,56,7.607143,7.000000,6.035286,25.000000,0.793371,2022-04-16,2022-10-27,195,195,0.287179,106,0.976122
102900005115854,萝卜叶,1011010101,花叶类,415.325000,2103.818200,164,2.532470,1.890500,2.011397,11.585000,0.794244,2020-10-15,2022-11-19,766,761,0.214099,107,0.977004
102900011032619,西峡香菇(2),1011010801,食用菌,414.593000,9015.233200,69,6.008594,4.407000,5.856210,36.063000,0.974639,2022-03-15,2022-12-17,278,272,0.248201,108,0.977883
106930274220092,蟹味菇(袋),1011010801,食用菌,400.000000,1982.100000,99,4.040404,3.000000,4.936162,30.000000,1.221700,2020-12-10,2021-05-01,143,141,0.692308,109,0.978732
102900011035788,西峡香菇(份) ,1011010801,食用菌,379.000000,1848.500000,65,5.830769,5.000000,5.737947,34.000000,0.984081,2022-10-13,2023-02-18,129,122,0.503876,110,0.979536
102900005116912,姬菇(1),1011010801,食用菌,375.222000,5661.937600,308,1.218253,1.239500,0.596146,4.185000,0.489345,2020-07-01,2021-09-25,452,450,0.681416,111,0.980332
102900011035740,蟹味菇与白玉菇双拼(盒),1011010801,食用菌,371.000000,2931.800000,137,2.708029,2.000000,1.978415,10.000000,0.730574,2023-01-20,2023-06-30,162,161,0.845679,112,0.981120
102900011032343,七彩椒(2),1011010504,辣椒类,370.209000,8984.947400,258,1.434919,1.181000,1.054565,5.841000,0.734930,2022-03-05,2023-06-29,482,475,0.535270,113,0.981905
102900011035511,净藕(3),1011010402,水生根茎类,348.800000,2552.864600,70,4.982857,4.570000,3.076865,13.852000,0.617490,2022-09-10,2023-01-12,125,119,0.560000,114,0.982645
102900011034217,小白菜(份),1011010101,花叶类,342.000000,2809.500000,47,7.276596,7.000000,3.751534,15.000000,0.515562,2022-04-18,2022-09-18,154,154,0.305195,115,0.983371
102900005115199,四川红香椿,1011010101,花叶类,333.485000,10556.568500,151,2.208510,1.537000,2.198396,12.849000,0.995420,2020-11-11,2023-04-23,894,884,0.168904,116,0.984079
102900011030042,枝江红菜苔(份),1011010101,花叶类,313.000000,681.600000,52,6.019231,5.000000,3.304723,20.000000,0.549027,2021-12-17,2022-02-16,62,61,0.838710,117,0.984743
102900011033982,紫茄子(1),1011010501,茄类,297.158000,3237.704600,44,6.753591,5.445000,8.141376,51.508000,1.205488,2022-08-06,2023-06-29,328,321,0.134146,118,0.985373
102900011030158,小青菜(2),1011010101,花叶类,296.000000,454.600000,46,6.434783,6.000000,2.630185,15.000000,0.408745,2021-12-16,2022-02-13,60,59,0.766667,119,0.986001
102900011007044,银耳(朵),1011010801,食用菌,288.000000,1225.400000,141,2.042553,2.000000,1.367335,7.000000,0.669424,2020-09-29,2023-04-29,943,933,0.149523,120,0.986613
102900011032220,水果辣椒(份),1011010504,辣椒类,283.000000,2190.000000,85,3.329412,3.000000,2.200586,9.000000,0.660953,2022-02-17,2022-08-02,167,167,0.508982,121,0.987213
102900011001219,红灯笼椒(1),1011010504,辣椒类,278.612000,4921.812100,272,1.024309,0.782500,0.891153,7.187000,0.870005,2020-07-01,2023-04-19,1023,1013,0.265885,122,0.987804
102900005117209,七彩椒(1),1011010504,辣椒类,263.192000,5557.986400,284,0.926732,0.604000,1.407996,16.094000,1.519312,2020-07-01,2023-04-03,1007,997,0.282026,123,0.988363
106956146480197,白玉菇(2),1011010801,食用菌,251.000000,1008.800000,59,4.254237,5.000000,1.917193,8.000000,0.450655,2020-07-12,2021-05-29,322,320,0.183230,124,0.988895
102900011032367,红灯笼椒(2),1011010504,辣椒类,214.810000,3987.568400,182,1.180275,0.810500,1.207232,9.534000,1.022840,2022-02-21,2023-02-17,362,355,0.502762,125,0.989351
102900011009246,鲜木耳(1),1011010801,食用菌,212.171000,2907.348000,252,0.841948,0.720000,0.601053,5.429000,0.713884,2020-08-07,2021-07-24,352,350,0.715909,126,0.989801
102900005123880,灯笼椒(1),1011010504,辣椒类,212.043000,2675.071300,217,0.977157,0.751000,0.876114,5.758000,0.896595,2020-07-01,2023-04-03,1007,997,0.215492,127,0.990251
102900011034354,鲜粽叶(袋)(1),1011010101,花叶类,200.000000,1180.000000,7,28.571429,7.000000,58.131624,160.000000,2.034607,2022-05-27,2022-06-09,14,14,0.500000,128,0.990676
102900011033975,青茄子(2),1011010501,茄类,190.522000,1201.168800,52,3.663885,2.217000,4.134177,23.060000,1.128359,2022-07-30,2023-01-24,179,172,0.290503,129,0.991080
102900011035764,龙牙菜,1011010101,花叶类,186.831000,1578.329200,63,2.965571,2.193000,2.345157,10.321000,0.790794,2022-10-15,2023-02-08,117,110,0.538462,130,0.991476
106957634300010,白玉菇(盒),1011010801,食用菌,168.000000,486.300000,42,4.000000,3.000000,3.526900,18.000000,0.881725,2022-01-13,2022-03-05,52,51,0.807692,131,0.991833
102900011027479,小皱皮,1011010504,辣椒类,163.640000,1921.856200,81,2.020247,1.665000,1.740292,7.579000,0.861425,2021-07-15,2023-05-26,681,673,0.118943,132,0.992180
102900011035771,黄白菜(1),1011010101,花叶类,156.054000,1173.731800,70,2.229343,1.291000,2.365541,12.256000,1.061094,2022-10-14,2023-01-15,94,88,0.744681,133,0.992511
102900005119968,青杭椒(2),1011010504,辣椒类,128.500000,1142.420000,90,1.427778,1.260500,1.105339,5.815000,0.774168,2020-09-05,2022-06-21,655,652,0.137405,134,0.992784
106972776821582,鲜粽叶(袋)(3),1011010101,花叶类,128.000000,867.000000,31,4.129032,2.000000,7.693036,41.000000,1.863157,2023-05-13,2023-06-18,37,37,0.837838,135,0.993055
102900011035481,外地茼蒿(份),1011010101,花叶类,127.000000,952.400000,22,5.772727,5.000000,3.517735,15.000000,0.609371,2022-09-08,2022-10-02,25,25,0.880000,136,0.993325
102900011001691,菱角,1011010402,水生根茎类,126.422000,1762.185800,105,1.204019,0.934000,0.962166,4.837000,0.799129,2020-08-10,2023-06-30,1055,1045,0.099526,137,0.993593
102900005115625,本地小毛白菜,1011010101,花叶类,121.020000,554.500000,47,2.574894,1.743000,2.523682,12.853000,0.980111,2022-09-28,2022-12-19,83,77,0.566265,138,0.993850
102900011029176,辣妹子,1011010504,辣椒类,120.249000,1395.938000,73,1.647247,1.275000,1.243064,7.400000,0.754631,2021-10-04,2022-01-04,93,93,0.784946,139,0.994105
106973990980123,和丰阳光海鲜菇(包),1011010801,食用菌,109.000000,244.000000,19,5.736842,6.000000,3.263299,10.000000,0.568832,2022-07-08,2022-07-29,22,22,0.863636,140,0.994336
102900005119104,蟹味菇(1),1011010801,食用菌,102.000000,379.900000,51,2.000000,2.000000,1.148913,5.000000,0.574456,2021-10-10,2022-10-26,382,381,0.133508,141,0.994553
102900011031599,杏鲍菇(份),1011010801,食用菌,102.000000,311.400000,19,5.368421,7.000000,3.003896,9.000000,0.559549,2022-01-06,2022-02-16,42,41,0.452381,142,0.994769
102900011016909,花茄子,1011010501,茄类,101.379000,1149.011400,81,1.251593,0.845000,1.302406,7.138000,1.040599,2020-09-05,2022-07-10,674,671,0.120178,143,0.994984
102900005116806,黑油菜,1011010101,花叶类,101.125000,435.916800,27,3.745370,2.529000,5.571018,29.631000,1.487441,2021-06-10,2022-12-19,558,551,0.048387,144,0.995199
102900011007969,红莲藕带,1011010402,水生根茎类,100.690000,1075.540800,96,1.048854,0.818500,0.877792,4.739000,0.836906,2020-08-07,2023-06-30,1058,1048,0.090737,145,0.995413
106956146480203,蟹味菇(2),1011010801,食用菌,95.000000,394.300000,32,2.968750,2.500000,1.942469,9.000000,0.654305,2020-07-10,2022-02-07,578,575,0.055363,146,0.995614
