日期,单品编码,单品名称,分类编码,分类名称,销量,销售额,交易笔数,打折笔数,打折销量,平均零售单价(元/千克),当日成本价(元/千克),单品损耗率(%),品类平均损耗率(%),成本加成率,有效单位成本(元/千克),成本价异常标记
2020-07-02,102900005118831,娃娃菜,1011010101,花叶类,13.0,86.1,12,6,7.0,6.623076923076923,4.11,2.48,12.83,0.6114542391914652,4.214520098441346,0
2020-07-02,102900005119944,海鲜菇(1),1011010801,食用菌,2.254,36.064,7,0,0.0,16.0,10.13,9.89,9.45,0.5794669299111548,11.241815558761514,0
2020-07-02,102900005119975,红薯尖,1011010101,花叶类,22.549,113.83800000000001,57,25,10.728,5.048472216062797,3.6,8.42,12.83,0.402353393350777,3.9309892989735755,0
2020-07-02,102900005123880,灯笼椒(1),1011010504,辣椒类,1.679,20.148,5,0,0.0,12.0,6.46,16.33,9.24,0.8575851393188854,7.720807935938807,0
2020-07-02,102900005125808,小米椒,1011010504,辣椒类,4.148,107.0184,44,0,0.0,25.8,12.13,5.86,9.24,1.126957955482275,12.885064797110687,0
2020-07-02,102900011000328,螺丝椒,1011010504,辣椒类,5.844,58.44,23,0,0.0,9.999999999999998,7.1,10.18,9.24,0.408450704225352,7.9046982854598085,0
2020-07-02,102900051010455,黄白菜(2),1011010101,花叶类,4.811,39.997,10,1,0.635,8.313656204531283,4.76,15.61,12.83,0.7465664295233787,5.640478729707311,0
2020-07-02,102900011006689,东门口小白菜,1011010101,花叶类,1.392,13.919999999999998,6,0,0.0,10.0,6.83,27.84,12.83,0.4641288433382138,9.465077605321508,0
2020-07-02,102900011006948,外地茼蒿,1011010101,花叶类,0.857,13.712,2,0,0.0,16.0,11.75,26.16,12.83,0.36170212765957444,15.912784398699893,0
2020-07-02,102900011008522,甜白菜,1011010101,花叶类,13.548,108.384,25,0,0.0,8.0,4.44,9.43,12.83,0.8018018018018016,4.902285525008281,0
2020-07-02,102900011009970,青梗散花,1011010201,花菜类,13.834,124.506,30,0,0.0,9.0,5.52,17.06,15.51,0.6304347826086958,6.6554135519652755,0
2020-07-02,102900051000944,洪湖藕带,1011010402,水生根茎类,0.258,9.700800000000001,1,0,0.0,37.6,29.54,24.05,13.65,0.27285037237643883,38.894009216589865,0
2020-07-02,102900051004294,青线椒,1011010504,辣椒类,4.721,66.094,16,0,0.0,13.999999999999998,6.85,7.8,9.24,1.043795620437956,7.429501084598698,0
2020-07-02,102900005117209,七彩椒(1),1011010504,辣椒类,1.825,25.55,5,0,0.0,14.0,7.33,15.98,9.24,0.9099590723055935,8.72411330635563,0
2020-07-02,102900011001219,红灯笼椒(1),1011010504,辣椒类,1.3940000000000001,16.728,4,0,0.0,12.0,8.24,8.93,9.24,0.4563106796116505,9.047985066432414,0
2020-07-02,102900005117056,泡泡椒(精品),1011010504,辣椒类,39.81,302.556,98,0,0.0,7.599999999999999,4.48,7.08,9.24,0.696428571428571,4.821351700387431,0
2020-07-02,102900005116226,青尖椒,1011010504,辣椒类,1.6669999999999998,13.335999999999999,7,0,0.0,8.0,4.57,6.72,9.24,0.75054704595186,4.899228130360206,0
2020-07-02,102900005116912,姬菇(1),1011010801,食用菌,1.539,21.546,9,0,0.0,14.0,8.05,8.99,9.45,0.7391304347826086,8.845181848148556,0
2020-07-02,102900005116943,红杭椒,1011010504,辣椒类,1.679,26.864,10,0,0.0,16.0,7.27,9.99,9.24,1.2008253094910595,8.076880346628151,0
2020-07-02,102900005115779,云南生菜,1011010101,花叶类,44.873,356.8496,111,1,0.464,7.952434648898001,4.23,15.25,12.83,0.8800081912288418,4.991150442477877,0
2020-07-02,102900005115786,竹叶菜,1011010101,花叶类,11.556000000000001,69.336,24,0,0.0,5.999999999999999,3.18,13.62,12.83,0.8867924528301883,3.6814077332715907,0
2020-07-02,102900005115793,小白菜,1011010101,花叶类,4.55,72.8,9,0,0.0,16.0,9.19,7.59,12.83,0.7410228509249184,9.94481116762255,0
2020-07-02,102900005115823,上海青,1011010101,花叶类,6.806,68.06,17,0,0.0,10.0,7.03,14.43,12.83,0.42247510668563293,8.215496085076545,0
2020-07-02,102900005115908,菜心,1011010101,花叶类,14.275,114.2,35,0,0.0,8.0,4.52,13.7,12.83,0.7699115044247788,5.237543453070683,0
2020-07-02,102900005115946,木耳菜,1011010101,花叶类,3.124,21.868000000000002,7,0,0.0,7.0,4.23,7.61,12.83,0.6548463356973993,4.578417577659921,0
2020-07-02,102900005115960,大白菜,1011010101,花叶类,11.228,34.5921,13,1,0.535,3.0808781617385113,2.1,22.27,12.83,0.4670848389231006,2.701659590891548,0
2020-07-02,102900005115762,苋菜,1011010101,花叶类,8.112,48.672,14,0,0.0,6.0,3.93,18.52,12.83,0.5267175572519083,4.823269513991164,0
2020-07-02,102900005116233,红椒(1),1011010504,辣椒类,3.2969999999999997,32.97,14,0,0.0,10.0,5.71,11.76,9.24,0.7513134851138354,6.470988213961922,0
2020-07-02,102900005116257,紫茄子(2),1011010501,茄类,14.432,101.024,26,0,0.0,7.0,3.72,6.07,6.68,0.8817204301075268,3.9603960396039604,0
2020-07-02,102900005116509,青茄子(1),1011010501,茄类,17.767,71.068,30,0,0.0,4.0,1.46,5.01,6.68,1.7397260273972601,1.5370038951468576,0
2020-07-02,102900005116530,西峡香菇(1),1011010801,食用菌,17.345,343.431,69,0,0.0,19.8,10.8,13.82,9.45,0.8333333333333333,12.531909955906244,0
2020-07-02,102900005116547,金针菇(1),1011010801,食用菌,17.208000000000002,103.248,43,0,0.0,6.0,4.05,3.43,9.45,0.4814814814814816,4.193849021435228,0
2020-07-02,102900005116714,西兰花,1011010201,花菜类,30.109,421.526,65,0,0.0,14.0,8.9,9.26,15.51,0.5730337078651684,9.808243332598634,0
2020-07-02,102900005116790,黄心菜(1),1011010101,花叶类,10.625,85.0,17,0,0.0,8.0,3.97,10.64,12.83,1.0151133501259446,4.4427036705461065,0
2020-07-02,102900005115984,云南油麦菜,1011010101,花叶类,27.056,162.336,64,0,0.0,6.0,3.58,12.81,12.83,0.6759776536312849,4.105975455900906,0
2020-07-03,102900005117056,泡泡椒(精品),1011010504,辣椒类,32.351,245.86759999999998,87,0,0.0,7.6,5.31,7.08,9.24,0.43126177024482115,5.714593198450279,0
2020-07-03,102900005117209,七彩椒(1),1011010504,辣椒类,1.581,22.134,4,0,0.0,14.0,6.21,15.98,9.24,1.254428341384863,7.391097357771958,0
2020-07-03,102900005118824,高瓜(1),1011010402,水生根茎类,9.572000000000001,76.693,30,15,5.162,8.012223150856665,5.61,29.25,13.65,0.42820377020617895,7.929328621908128,0
2020-07-03,102900005118831,娃娃菜,1011010101,花叶类,13.0,88.9,13,2,2.0,6.838461538461539,4.05,2.48,12.83,0.6885090218423553,4.152994257588187,0
2020-07-03,102900005119944,海鲜菇(1),1011010801,食用菌,1.816,29.056,8,0,0.0,16.0,10.05,9.89,9.45,0.5920398009950247,11.153035179225391,0
2020-07-03,102900005119975,红薯尖,1011010101,花叶类,13.734,77.784,41,6,2.31,5.663608562691132,3.6,8.42,12.83,0.5732246007475366,3.9309892989735755,0
2020-07-03,102900005123880,灯笼椒(1),1011010504,辣椒类,1.369,16.428,4,0,0.0,12.0,6.23,16.33,9.24,0.9261637239165328,7.4459184893032155,0
2020-07-03,102900005125808,小米椒,1011010504,辣椒类,3.935,101.52300000000001,42,0,0.0,25.8,12.2,5.86,9.24,1.114754098360656,12.959422137242404,0
2020-07-03,102900011006948,外地茼蒿,1011010101,花叶类,2.09,33.44,7,0,0.0,16.0,11.75,26.16,12.83,0.36170212765957444,15.912784398699893,0
2020-07-03,102900011000328,螺丝椒,1011010504,辣椒类,9.099,90.99,25,0,0.0,10.0,6.58,10.18,9.24,0.519756838905775,7.325762636383879,0
2020-07-03,102900011001219,红灯笼椒(1),1011010504,辣椒类,2.239,31.346,7,0,0.0,14.0,7.0,8.93,9.24,1.0,7.686395080707148,0
2020-07-03,102900011006689,东门口小白菜,1011010101,花叶类,3.4779999999999998,34.78,6,0,0.0,10.000000000000002,6.88,27.84,12.83,0.4534883720930236,9.534368070953436,0
2020-07-03,102900011008522,甜白菜,1011010101,花叶类,13.562,108.496,21,0,0.0,8.0,4.47,9.43,12.83,0.789709172259508,4.935409075852932,0
2020-07-03,102900011009970,青梗散花,1011010201,花菜类,15.616,124.928,32,0,0.0,8.0,4.81,17.06,15.51,0.6632016632016633,5.79937304075235,0
2020-07-03,102900051004294,青线椒,1011010504,辣椒类,4.7059999999999995,65.884,18,0,0.0,14.000000000000002,8.07,7.8,9.24,0.7348203221809171,8.752711496746203,0
2020-07-03,102900051010455,黄白菜(2),1011010101,花叶类,9.991,89.919,19,0,0.0,9.0,4.74,15.61,12.83,0.8987341772151898,5.616779239246356,0
2020-07-03,102900005125815,杏鲍菇(1),1011010801,食用菌,9.443999999999999,94.44,29,0,0.0,10.0,6.32,5.05,9.45,0.5822784810126582,6.656134807793576,0
2020-07-03,102900005116943,红杭椒,1011010504,辣椒类,1.904,30.464,13,0,0.0,16.0,6.75,9.99,9.24,1.3703703703703702,7.499166759248972,0
2020-07-03,102900005115946,木耳菜,1011010101,花叶类,2.306,16.142000000000003,5,0,0.0,7.000000000000001,4.3,7.61,12.83,0.6279069767441863,4.654183353176751,0
2020-07-03,102900005116790,黄心菜(1),1011010101,花叶类,6.943,55.544,10,0,0.0,8.0,3.98,10.64,12.83,1.0100502512562812,4.45389435989257,0
2020-07-03,102900005115779,云南生菜,1011010101,花叶类,36.309,290.472,93,0,0.0,8.0,4.61,15.25,12.83,0.7353579175704987,5.43952802359882,0
2020-07-03,102900005115786,竹叶菜,1011010101,花叶类,11.125,62.628,24,4,2.061,5.6294831460674155,3.79,13.62,12.83,0.4853517535797931,4.387589719842556,0
2020-07-03,102900005115793,小白菜,1011010101,花叶类,3.099,49.584,7,0,0.0,16.0,9.2,7.59,12.83,0.7391304347826089,9.955632507304403,0
2020-07-03,102900005115823,上海青,1011010101,花叶类,13.120000000000001,129.3099,29,1,0.461,9.8559375,6.76,14.43,12.83,0.45797892011834307,7.899964940983989,0
2020-07-03,102900005115908,菜心,1011010101,花叶类,8.173,65.384,20,0,0.0,8.0,3.89,13.7,12.83,1.056555269922879,4.507531865585168,0
2020-07-03,102900005115960,大白菜,1011010101,花叶类,10.446,37.6056,15,0,0.0,3.6000000000000005,2.11,22.27,12.83,0.7061611374407586,2.7145246365624596,0
2020-07-03,102900005115984,云南油麦菜,1011010101,花叶类,36.709,220.254,83,0,0.0,5.999999999999999,3.75,12.81,12.83,0.5999999999999999,4.300951944030278,0
2020-07-03,102900005115762,苋菜,1011010101,花叶类,7.694,46.164,12,0,0.0,6.0,3.57,18.52,12.83,0.680672268907563,4.381443298969072,0
2020-07-03,102900005116233,红椒(1),1011010504,辣椒类,4.738,47.38,21,0,0.0,10.0,5.7,11.76,9.24,0.7543859649122806,6.459655485040798,0
2020-07-03,102900005116226,青尖椒,1011010504,辣椒类,2.331,18.648,6,0,0.0,8.0,4.42,6.72,9.24,0.8099547511312217,4.738421955403088,0
2020-07-03,102900005116714,西兰花,1011010201,花菜类,26.46,370.44,64,0,0.0,14.0,8.97,9.26,15.51,0.5607580824972129,9.885386819484241,0
2020-07-03,102900005116547,金针菇(1),1011010801,食用菌,14.633,102.431,36,0,0.0,7.0,4.05,3.43,9.45,0.7283950617283952,4.193849021435228,0
2020-07-03,102900005116912,姬菇(1),1011010801,食用菌,1.259,17.625999999999998,7,0,0.0,14.0,7.9,8.99,9.45,0.7721518987341771,8.680364795077464,0
2020-07-03,102900005116509,青茄子(1),1011010501,茄类,18.343,73.372,24,0,0.0,4.0,1.48,5.01,6.68,1.7027027027027026,1.5580587430255817,0
2020-07-03,102900005116257,紫茄子(2),1011010501,茄类,17.553,122.871,33,0,0.0,6.999999999999999,6.56,6.07,6.68,0.06707317073170715,6.9839241988715,0
2020-07-03,102900005116530,西峡香菇(1),1011010801,食用菌,15.29,302.742,69,0,0.0,19.8,10.8,13.82,9.45,0.8333333333333333,12.531909955906244,0
2020-07-04,102900005117056,泡泡椒(精品),1011010504,辣椒类,45.815,348.19399999999996,121,0,0.0,7.6,5.16,7.08,9.24,0.4728682170542635,5.553164012053379,0
2020-07-04,102900005117209,七彩椒(1),1011010504,辣椒类,0.6930000000000001,9.702000000000002,2,0,0.0,14.000000000000002,7.43,15.98,9.24,0.8842530282637957,8.84313258747917,0
2020-07-04,102900005118824,高瓜(1),1011010402,水生根茎类,3.107,31.07,9,0,0.0,10.0,5.41,29.25,13.65,0.8484288354898335,7.646643109540636,0
2020-07-04,102900005118831,娃娃菜,1011010101,花叶类,15.0,102.2,15,1,1.0,6.8133333333333335,4.09,2.48,12.83,0.6658516707416464,4.194011484823626,0
2020-07-04,102900005119944,海鲜菇(1),1011010801,食用菌,1.3780000000000001,22.048000000000002,8,0,0.0,16.0,10.08,9.89,9.45,0.5873015873015872,11.186327821551437,0
2020-07-04,102900005123880,灯笼椒(1),1011010504,辣椒类,0.618,7.4159999999999995,2,0,0.0,12.0,7.23,16.33,9.24,0.6597510373443982,8.641089996414486,0
2020-07-04,102900005125808,小米椒,1011010504,辣椒类,3.4210000000000003,88.26180000000001,42,0,0.0,25.8,12.08,5.86,9.24,1.1357615894039736,12.831952411302316,0
2020-07-04,102900011000328,螺丝椒,1011010504,辣椒类,10.682,149.1928,34,1,0.444,13.966747800037446,6.0,10.18,9.24,1.3277913000062411,6.680026720106881,0
2020-07-04,102900011001219,红灯笼椒(1),1011010504,辣椒类,0.9450000000000001,13.23,3,0,0.0,14.0,7.37,8.93,9.24,0.8995929443690638,8.092675963544526,0
2020-07-04,102900051010455,黄白菜(2),1011010101,花叶类,18.431,165.4914,32,1,0.646,8.978970213227713,4.63,15.61,12.83,0.9393024218634369,5.486432041711103,0
2020-07-04,102900011008522,甜白菜,1011010101,花叶类,15.843,126.744,29,0,0.0,8.0,4.44,9.43,12.83,0.8018018018018016,4.902285525008281,0
2020-07-04,102900011009970,青梗散花,1011010201,花菜类,12.847,102.776,29,0,0.0,8.0,4.71,17.06,15.51,0.6985138004246285,5.678803954666024,0
2020-07-04,102900051000944,洪湖藕带,1011010402,水生根茎类,2.332,87.6832,7,0,0.0,37.6,25.48,24.05,13.65,0.47566718995290436,33.5483870967742,0
2020-07-04,102900051004294,青线椒,1011010504,辣椒类,8.509,102.108,41,0,0.0,12.0,6.09,7.8,9.24,0.9704433497536946,6.605206073752711,0
2020-07-04,102900005116943,红杭椒,1011010504,辣椒类,1.703,27.248,11,0,0.0,16.0,5.9,9.99,9.24,1.711864406779661,6.5548272414176205,0
2020-07-04,102900005125815,杏鲍菇(1),1011010801,食用菌,13.054,130.54,42,0,0.0,10.0,6.0,5.05,9.45,0.6666666666666667,6.3191153238546605,0
2020-07-04,102900011006689,东门口小白菜,1011010101,花叶类,4.908,49.08,14,0,0.0,9.999999999999998,7.21,27.84,12.83,0.38696255201109553,9.991685144124169,0
2020-07-04,102900005116912,姬菇(1),1011010801,食用菌,1.596,22.344,5,0,0.0,14.0,7.79,8.99,9.45,0.7971758664955071,8.559498956158663,0
2020-07-04,102900005116714,西兰花,1011010201,花菜类,42.815,599.41,97,0,0.0,14.0,9.27,9.26,15.51,0.5102481121898599,10.2160017632797,0
2020-07-04,102900005116790,黄心菜(1),1011010101,花叶类,5.2509999999999994,42.007999999999996,9,0,0.0,8.0,4.01,10.64,12.83,0.9950124688279303,4.4874664279319605,0
2020-07-04,102900005115779,云南生菜,1011010101,花叶类,51.205,409.64,141,0,0.0,8.0,5.77,15.25,12.83,0.3864818024263432,6.808259587020649,0
2020-07-04,102900005115786,竹叶菜,1011010101,花叶类,20.571,123.426,49,0,0.0,6.0,3.46,13.62,12.83,0.7341040462427746,4.005556841861542,0
2020-07-04,102900005115793,小白菜,1011010101,花叶类,7.091,113.456,15,0,0.0,16.0,9.16,7.59,12.83,0.7467248908296944,9.912347148576993,0
2020-07-04,102900005115908,菜心,1011010101,花叶类,13.034,104.272,30,0,0.0,8.0,3.53,13.7,12.83,1.2662889518413598,4.090382387022016,0
2020-07-04,102900005115946,木耳菜,1011010101,花叶类,4.099,28.692999999999998,11,0,0.0,6.999999999999999,4.28,7.61,12.83,0.6355140186915884,4.6325359887433715,0
2020-07-04,102900005115960,大白菜,1011010101,花叶类,9.638,34.6968,12,0,0.0,3.6000000000000005,2.21,22.27,12.83,0.6289592760180998,2.843175093271581,0
2020-07-04,102900005115823,上海青,1011010101,花叶类,28.186,281.86,64,0,0.0,10.0,6.56,14.43,12.83,0.524390243902439,7.666238167582096,0
2020-07-04,102900005116226,青尖椒,1011010504,辣椒类,3.948,31.584,11,0,0.0,8.0,4.41,6.72,9.24,0.8140589569160996,4.72770154373928,0
2020-07-04,102900005116233,红椒(1),1011010504,辣椒类,4.948,49.480000000000004,26,0,0.0,10.0,5.42,11.76,9.24,0.845018450184502,6.14233907524932,0
2020-07-04,102900005116257,紫茄子(2),1011010501,茄类,33.045,231.315,65,0,0.0,7.0,3.94,6.07,6.68,0.7766497461928934,4.194613009688066,0
2020-07-04,102900005116509,青茄子(1),1011010501,茄类,24.022,96.088,34,0,0.0,4.0,1.98,5.01,6.68,1.0202020202020203,2.0844299399936834,0
2020-07-04,102900005116530,西峡香菇(1),1011010801,食用菌,14.532,286.8576,77,3,0.438,19.739719240297273,12.0,13.82,9.45,0.6449766033581061,13.924344395451381,0
2020-07-04,102900005116547,金针菇(1),1011010801,食用菌,16.702,116.914,39,0,0.0,6.999999999999999,4.05,3.43,9.45,0.728395061728395,4.193849021435228,0
2020-07-04,102900005115984,云南油麦菜,1011010101,花叶类,43.33,259.8328,105,1,0.368,5.996602815601201,3.75,12.81,12.83,0.5990940841603203,4.300951944030278,0
2020-07-05,102900005125815,杏鲍菇(1),1011010801,食用菌,14.044,140.44,49,0,0.0,10.0,6.16,5.05,9.45,0.6233766233766234,6.487625065824118,0
2020-07-05,102900005118824,高瓜(1),1011010402,水生根茎类,4.019,40.19,12,0,0.0,10.0,5.42,29.25,13.65,0.845018450184502,7.66077738515901,0
2020-07-05,102900005118831,娃娃菜,1011010101,花叶类,13.0,88.3,13,3,3.0,6.792307692307692,4.1,2.48,12.83,0.6566604127579738,4.204265791632485,0
2020-07-05,102900005119975,红薯尖,1011010101,花叶类,55.159,330.954,147,0,0.0,6.0,3.6,8.42,12.83,0.6666666666666665,3.9309892989735755,0
2020-07-05,102900005123880,灯笼椒(1),1011010504,辣椒类,0.626,7.5120000000000005,2,0,0.0,12.0,7.23,16.33,9.24,0.6597510373443982,8.641089996414486,0
2020-07-05,102900005125808,小米椒,1011010504,辣椒类,3.6990000000000003,95.4342,43,0,0.0,25.8,11.67,5.86,9.24,1.2107969151670952,12.396430847673678,0
2020-07-05,102900011000328,螺丝椒,1011010504,辣椒类,15.638,218.746,45,1,0.465,13.988105895894616,7.95,10.18,9.24,0.7595101755842284,8.851035404141617,0
2020-07-05,102900005117209,七彩椒(1),1011010504,辣椒类,1.395,19.53,5,0,0.0,14.0,8.35,15.98,9.24,0.6766467065868265,9.938109973815758,0
2020-07-05,102900011006689,东门口小白菜,1011010101,花叶类,3.625,39.875,13,0,0.0,11.0,7.03,27.84,12.83,0.5647226173541962,9.742239467849224,0
2020-07-05,102900011008522,甜白菜,1011010101,花叶类,17.408,139.264,30,0,0.0,8.0,4.44,9.43,12.83,0.8018018018018016,4.902285525008281,0
2020-07-05,102900011009444,大龙茄子,1011010501,茄类,10.427,125.0037,24,1,0.401,11.988462645056105,8.1,10.94,6.68,0.4800571166735932,9.094992140130248,0
2020-07-05,102900011009970,青梗散花,1011010201,花菜类,13.109,104.872,24,0,0.0,8.0,4.93,17.06,15.51,0.6227180527383369,5.944055944055943,0
2020-07-05,102900051004294,青线椒,1011010504,辣椒类,8.475,101.7,41,0,0.0,12.0,6.3,7.8,9.24,0.9047619047619049,6.832971800433839,0
2020-07-05,102900051010455,黄白菜(2),1011010101,花叶类,14.811,133.299,31,0,0.0,9.0,4.75,15.61,12.83,0.894736842105263,5.628628984476834,0
2020-07-05,102900011001219,红灯笼椒(1),1011010504,辣椒类,1.282,20.512,4,0,0.0,16.0,7.3,8.93,9.24,1.191780821917808,8.015812012737454,0
2020-07-05,102900005117056,泡泡椒(精品),1011010504,辣椒类,53.874,409.44239999999996,144,0,0.0,7.599999999999999,5.16,7.08,9.24,0.4728682170542633,5.553164012053379,0
2020-07-05,102900011001813,金针菇(袋)(1),1011010801,食用菌,20.0,70.0,20,0,0.0,3.5,1.63,8.85,9.45,1.147239263803681,1.7882611080636313,0
2020-07-05,102900005116912,姬菇(1),1011010801,食用菌,1.772,24.808,11,0,0.0,14.0,7.9,8.99,9.45,0.7721518987341771,8.680364795077464,0
2020-07-05,102900005115779,云南生菜,1011010101,花叶类,34.249,273.9092,92,1,0.414,7.997582411165289,5.77,15.25,12.83,0.3860628095607088,6.808259587020649,0
2020-07-05,102900005115786,竹叶菜,1011010101,花叶类,30.937,185.5384,69,1,0.418,5.9972977341047935,3.45,13.62,12.83,0.7383471693057371,3.9939800879833296,0
2020-07-05,102900005115823,上海青,1011010101,花叶类,12.038,120.2537,28,1,0.421,9.989508223957467,6.56,14.43,12.83,0.5227908877983944,7.666238167582096,0
