单品编码,单品名称,分类编码,分类名称,该周销售天数,该周总销量,该周日均销量,该周销售额,该周打折笔数,该周平均零售单价,6-30成本价(元/千克),该周成本加成率,单品损耗率(%),品类平均损耗率(%),成本价异常标记
102900011030110,菠菜(份),1011010101,花叶类,5,49.0,9.8,270.0,24,5.510204081632653,4.07,0.3538584967156395,9.43,12.83,0
102900011032848,姜蒜小米椒组合装(小份),1011010504,辣椒类,7,49.0,7.0,231.39999999999998,5,4.722448979591836,2.33,1.026802137163878,9.43,9.24,0
102900011000328,螺丝椒,1011010504,辣椒类,7,47.897000000000006,6.842428571428572,545.5,0,11.389022276969328,8.97,0.26967918360862075,10.18,9.24,0
102900011008164,奶白菜,1011010101,花叶类,6,44.959,7.493166666666667,215.326,0,4.789385884917369,2.56,0.8708538612958472,15.68,12.83,0
102900005116899,净藕(1),1011010402,水生根茎类,7,42.184,6.026285714285714,603.976,26,14.317655983311209,10.38,0.37935028740955756,5.54,13.65,0
102900005115946,木耳菜,1011010101,花叶类,7,41.534,5.933428571428571,224.7282,34,5.410704483074108,3.12,0.7342001548314447,7.61,12.83,0
102900011023464,小青菜(1),1011010101,花叶类,7,34.306,4.900857142857142,178.3912,0,5.2,2.7,0.9259259259259258,10.33,12.83,0
102900005115250,西峡花菇(1),1011010801,食用菌,7,32.369,4.624142857142857,776.856,0,24.0,15.6,0.5384615384615385,10.8,9.45,0
102900005119975,红薯尖,1011010101,花叶类,7,31.546,4.506571428571428,166.9488,0,5.292233563684778,2.6,1.0354744475710684,8.42,12.83,0
102900011022764,长线茄,1011010501,茄类,7,29.500999999999998,4.214428571428571,354.012,0,12.000000000000002,7.0,0.7142857142857146,6.9,6.68,0
102900051000944,洪湖藕带,1011010402,水生根茎类,7,28.232,4.033142857142857,593.359,43,21.017249929158403,18.0,0.16762499606435566,24.05,13.65,0
102900005115823,上海青,1011010101,花叶类,7,27.029,3.861285714285714,216.232,0,8.0,4.09,0.9559902200488999,14.43,12.83,0
102900011034026,枝江青梗散花,1011010201,花菜类,4,25.203,6.30075,324.1545,11,12.861742649684562,8.39,0.5329848211781361,9.43,15.51,0
102900005118824,高瓜(1),1011010402,水生根茎类,7,21.031,3.0044285714285714,278.7216,30,13.252893347914984,11.67,0.13563781901585137,29.25,13.65,0
102900005116509,青茄子(1),1011010501,茄类,6,18.727,3.121166666666667,112.362,0,6.0,3.98,0.5075376884422111,5.01,6.68,0
102900011031926,虫草花(份),1011010801,食用菌,7,16.0,2.2857142857142856,57.8,2,3.6125,2.6,0.38942307692307687,9.43,9.45,0
102900011034439,青红杭椒组合装(份),1011010504,辣椒类,7,15.0,2.142857142857143,82.4,2,5.493333333333334,3.32,0.6546184738955827,9.43,9.24,0
102900011035078,红椒(2),1011010504,辣椒类,7,14.25,2.0357142857142856,267.92,11,18.80140350877193,12.72,0.4780977601235794,9.43,9.24,0
102900011001691,菱角,1011010402,水生根茎类,6,12.224,2.037333333333333,171.136,0,14.0,9.16,0.5283842794759825,9.61,13.65,0
102900005115779,云南生菜,1011010101,花叶类,4,11.683,2.92075,107.48359999999998,0,9.2,5.68,0.619718309859155,15.25,12.83,0
102900005115908,菜心,1011010101,花叶类,4,8.877,2.21925,53.262,0,6.0,4.62,0.2987012987012987,13.7,12.83,0
102900011035740,蟹味菇与白玉菇双拼(盒),1011010801,食用菌,4,8.0,2.0,36.0,4,4.5,3.12,0.4423076923076923,0.84,9.45,0
102900051000463,圆茄子(2),1011010501,茄类,6,7.443,1.2405,44.4044,0,5.965927717318286,3.2,0.8643524116619643,6.71,6.68,0
102900011032343,七彩椒(2),1011010504,辣椒类,6,7.302,1.2169999999999999,139.6321,8,19.122445905231444,12.13,0.5764588545120728,9.43,9.24,0
102900005118817,菠菜,1011010101,花叶类,3,6.82,2.2733333333333334,95.47999999999999,0,13.999999999999998,9.67,0.4477766287487073,18.51,12.83,0
102900011006948,外地茼蒿,1011010101,花叶类,3,6.538,2.1793333333333336,81.8856,0,12.524564086876719,9.19,0.36284701707037215,26.16,12.83,0
102900011032732,高瓜(2),1011010402,水生根茎类,5,5.996,1.1992,93.7296,13,15.632021347565043,13.69,0.14185692823703744,9.43,13.65,0
102900005115984,云南油麦菜,1011010101,花叶类,3,5.098,1.6993333333333334,36.705600000000004,0,7.200000000000001,2.66,1.7067669172932334,12.81,12.83,0
102900011007969,红莲藕带,1011010402,水生根茎类,7,4.596,0.6565714285714286,42.283199999999994,0,9.2,5.29,0.7391304347826086,16.63,13.65,0
102900011013274,白玉菇(袋),1011010801,食用菌,4,4.0,1.0,22.799999999999997,2,5.699999999999999,3.29,0.7325227963525833,6.57,9.45,0
102900011030929,鲜木耳(份),1011010801,食用菌,1,4.0,4.0,9.7,4,2.425,1.3,0.8653846153846152,9.43,9.45,0
102900011036686,木耳菜(份),1011010101,花叶类,3,3.0,1.0,10.1,2,3.3666666666666667,1.53,1.2004357298474946,9.43,12.83,0
102900011018132,野生粉藕,1011010402,水生根茎类,3,2.439,0.8130000000000001,63.414,0,26.0,16.06,0.6189290161892902,12.69,13.65,0
102900011032237,青线椒(份),1011010504,辣椒类,2,2.0,1.0,8.6,0,4.3,2.54,0.6929133858267715,9.43,9.24,0
102900011033982,紫茄子(1),1011010501,茄类,2,1.024,0.512,9.216000000000001,0,9.0,4.34,1.0737327188940093,9.43,6.68,0
