单品编码,单品名称,分类编码,分类名称,first_sale_date,last_sale_date,sales_days,active_span_calendar_days,active_span_observed_sales_days,sales_days_share_of_active_span
102900005115786,竹叶菜,1011010101,花叶类,2020-07-01,2023-06-30,667,1095,1085,0.6091324200913242
102900005115762,苋菜,1011010101,花叶类,2020-07-01,2023-06-30,635,1095,1085,0.5799086757990868
102900005116226,青尖椒,1011010504,辣椒类,2020-07-01,2023-04-30,617,1034,1024,0.5967117988394585
102900005116943,红杭椒,1011010504,辣椒类,2020-07-01,2023-03-01,588,974,964,0.6036960985626283
102900005125808,小米椒,1011010504,辣椒类,2020-07-01,2023-05-02,585,1036,1026,0.5646718146718147
102900005119975,红薯尖,1011010101,花叶类,2020-07-01,2023-06-30,567,1095,1085,0.5178082191780822
102900005118824,高瓜(1),1011010402,水生根茎类,2020-07-01,2023-06-30,544,1095,1085,0.4968036529680365
102900005115878,茼蒿,1011010101,花叶类,2020-09-16,2023-05-06,514,963,953,0.5337487019730011
102900051000463,圆茄子(2),1011010501,茄类,2020-08-27,2023-06-30,501,1038,1028,0.48265895953757226
102900011023464,小青菜(1),1011010101,花叶类,2021-08-28,2023-06-30,492,672,664,0.7321428571428571
102900011031100,小米椒(份),1011010504,辣椒类,2021-12-20,2023-06-30,488,558,550,0.8745519713261649
102900005115960,大白菜,1011010101,花叶类,2020-07-01,2023-03-28,480,1001,991,0.47952047952047955
102900005115793,小白菜,1011010101,花叶类,2020-07-01,2023-02-20,478,965,955,0.49533678756476685
102900011022764,长线茄,1011010501,茄类,2021-01-30,2023-06-30,454,882,872,0.5147392290249433
102900005125815,杏鲍菇(1),1011010801,食用菌,2020-07-01,2023-05-22,452,1056,1046,0.42803030303030304
102900005116547,金针菇(1),1011010801,食用菌,2020-07-01,2023-02-15,448,960,950,0.4666666666666667
102900005116790,黄心菜(1),1011010101,花叶类,2020-07-01,2023-04-15,447,1019,1009,0.43866535819430813
102900011009970,青梗散花,1011010201,花菜类,2020-07-01,2023-06-16,444,1081,1071,0.4107308048103608
102900011032022,小皱皮(份),1011010504,辣椒类,2022-01-21,2023-06-30,441,526,518,0.8384030418250951
102900011006689,东门口小白菜,1011010101,花叶类,2020-07-02,2022-05-19,435,687,684,0.6331877729257642
106949711300259,金针菇(盒),1011010801,食用菌,2022-01-16,2023-06-30,429,531,523,0.807909604519774
102900005115946,木耳菜,1011010101,花叶类,2020-07-01,2023-06-30,421,1095,1085,0.38447488584474887
102900011030097,云南油麦菜(份),1011010101,花叶类,2021-12-16,2023-06-30,410,562,554,0.7295373665480427
102900011030059,云南生菜(份),1011010101,花叶类,2021-12-17,2023-06-30,400,561,553,0.7130124777183601
102900011021842,洪湖莲藕(粉藕),1011010402,水生根茎类,2020-12-18,2023-04-22,393,856,846,0.4591121495327103
102900011030110,菠菜(份),1011010101,花叶类,2021-12-16,2023-06-30,386,562,554,0.6868327402135231
102900005122654,枝江红菜苔,1011010101,花叶类,2020-10-26,2023-03-10,384,866,856,0.44341801385681295
102900011032251,螺丝椒(份),1011010504,辣椒类,2022-02-18,2023-06-30,382,498,491,0.7670682730923695
102900011032848,姜蒜小米椒组合装(小份),1011010504,辣椒类,2022-03-16,2023-06-30,366,472,465,0.7754237288135594
102900005116837,平菇,1011010801,食用菌,2020-07-07,2023-02-06,362,945,935,0.38306878306878306
102900011001806,姬菇(包),1011010801,食用菌,2020-07-16,2023-01-15,359,914,905,0.3927789934354486
102900011008522,甜白菜,1011010101,花叶类,2020-07-01,2022-10-21,340,843,840,0.4033214709371293
102900011034026,枝江青梗散花,1011010201,花菜类,2022-06-29,2023-06-30,337,367,360,0.9182561307901907
102900011012994,杏鲍菇(袋),1011010801,食用菌,2020-08-07,2023-02-11,327,919,909,0.3558215451577802
102900005119944,海鲜菇(1),1011010801,食用菌,2020-07-01,2021-09-25,326,452,450,0.7212389380530974
102900005116219,红尖椒,1011010504,辣椒类,2020-07-30,2023-04-13,314,988,978,0.31781376518218624
106958851400125,海鲜菇(袋)(4),1011010801,食用菌,2020-12-29,2022-01-16,314,384,382,0.8177083333333334
102900005116912,姬菇(1),1011010801,食用菌,2020-07-01,2021-09-25,308,452,450,0.6814159292035398
102900005115885,蔡甸藜蒿,1011010101,花叶类,2020-09-13,2023-04-23,303,953,943,0.3179433368310598
102900005115250,西峡花菇(1),1011010801,食用菌,2020-09-18,2023-06-30,297,1016,1006,0.29232283464566927
102900011033944,杏鲍菇(2),1011010801,食用菌,2022-04-18,2023-05-24,293,402,395,0.7288557213930348
102900011034330,双孢菇(盒),1011010801,食用菌,2022-05-25,2023-06-30,293,402,395,0.7288557213930348
102900011035078,红椒(2),1011010504,辣椒类,2022-08-14,2023-06-30,288,321,314,0.897196261682243
102900011030141,上海青(份),1011010101,花叶类,2021-12-16,2023-02-18,287,430,422,0.6674418604651163
102900005115861,牛首油菜,1011010101,花叶类,2020-07-10,2022-03-01,285,600,597,0.475
102900005117209,七彩椒(1),1011010504,辣椒类,2020-07-01,2023-04-03,284,1007,997,0.282025819265144
102900011032237,青线椒(份),1011010504,辣椒类,2022-02-07,2023-06-26,280,505,498,0.5544554455445545
102900011030134,菜心(份),1011010101,花叶类,2021-12-16,2023-03-09,275,449,441,0.6124721603563474
102900011001219,红灯笼椒(1),1011010504,辣椒类,2020-07-01,2023-04-19,272,1023,1013,0.26588465298142716
102900011006948,外地茼蒿,1011010101,花叶类,2020-07-01,2023-06-27,269,1092,1082,0.24633699633699635
102900011032343,七彩椒(2),1011010504,辣椒类,2022-03-05,2023-06-29,258,482,475,0.5352697095435685
102900051000944,洪湖藕带,1011010402,水生根茎类,2020-07-01,2023-06-30,258,1095,1085,0.2356164383561644
106949711300068,金针菇(袋)(3),1011010801,食用菌,2020-12-08,2021-09-08,258,275,273,0.9381818181818182
102900011009246,鲜木耳(1),1011010801,食用菌,2020-08-07,2021-07-24,252,352,350,0.7159090909090909
102900011032244,红尖椒(份),1011010504,辣椒类,2022-02-12,2023-03-14,246,396,389,0.6212121212121212
102900011031926,虫草花(份),1011010801,食用菌,2022-01-19,2023-06-30,245,528,520,0.4640151515151515
102900011034231,奶白菜(份),1011010101,花叶类,2022-04-16,2023-05-10,244,390,383,0.6256410256410256
106971533455008,海鲜菇(袋)(3),1011010801,食用菌,2022-01-13,2023-04-24,240,467,459,0.5139186295503212
102900005117056,泡泡椒(精品),1011010504,辣椒类,2020-07-01,2022-02-14,228,594,591,0.3838383838383838
102900011034439,青红杭椒组合装(份),1011010504,辣椒类,2022-07-26,2023-06-30,228,340,333,0.6705882352941176
102900005119098,双孢菇,1011010801,食用菌,2020-09-18,2021-10-05,223,383,381,0.5822454308093995
102900011033920,黄心菜(2),1011010101,花叶类,2022-04-17,2023-06-22,223,432,425,0.5162037037037037
102900005123880,灯笼椒(1),1011010504,辣椒类,2020-07-01,2023-04-03,217,1007,997,0.21549155908639522
106949711300167,金针菇(袋)(2),1011010801,食用菌,2021-09-06,2022-09-11,215,371,370,0.5795148247978437
102900011009277,荸荠,1011010402,水生根茎类,2020-12-02,2023-02-09,213,800,790,0.26625
102900011033906,保康高山大白菜,1011010101,花叶类,2022-04-16,2023-02-13,200,304,297,0.6578947368421053
102900011009444,大龙茄子,1011010501,茄类,2020-07-05,2021-06-16,197,347,345,0.5677233429394812
102900011031582,青尖椒(份),1011010504,辣椒类,2022-01-08,2023-01-07,193,365,358,0.5287671232876713
102900011032213,红杭椒(份),1011010504,辣椒类,2022-02-08,2023-01-28,192,355,348,0.5408450704225352
102900011030929,鲜木耳(份),1011010801,食用菌,2022-07-04,2023-06-26,182,358,351,0.5083798882681564
102900011032367,红灯笼椒(2),1011010504,辣椒类,2022-02-21,2023-02-17,182,362,355,0.5027624309392266
102900011034224,小青菜(份),1011010101,花叶类,2022-04-18,2023-02-20,179,309,302,0.5792880258899676
102900011022030,组合椒系列,1011010504,辣椒类,2021-01-22,2021-08-22,176,213,211,0.8262910798122066
102900011011546,海鲜菇(袋)(1),1011010801,食用菌,2020-07-14,2021-09-18,172,432,430,0.39814814814814814
102900005115854,萝卜叶,1011010101,花叶类,2020-10-15,2022-11-19,164,766,761,0.21409921671018275
102900011010891,野藕(1),1011010402,水生根茎类,2020-08-27,2023-06-05,164,1013,1003,0.16189536031589338
102900011030912,海鲜菇(份),1011010801,食用菌,2022-02-08,2023-01-03,162,330,324,0.4909090909090909
102900011032732,高瓜(2),1011010402,水生根茎类,2022-03-15,2023-06-30,159,473,466,0.3361522198731501
102900005115199,四川红香椿,1011010101,花叶类,2020-11-11,2023-04-23,151,894,884,0.16890380313199105
102900011000571,随州泡泡青,1011010101,花叶类,2020-12-03,2023-02-18,142,808,798,0.17574257425742573
102900011007044,银耳(朵),1011010801,食用菌,2020-09-29,2023-04-29,141,943,933,0.14952279957582185
102900011018095,虫草花(袋),1011010801,食用菌,2020-10-16,2021-03-14,141,150,148,0.94
102900011035740,蟹味菇与白玉菇双拼(盒),1011010801,食用菌,2023-01-20,2023-06-30,137,162,161,0.845679012345679
102900011030905,鱼腥草(份),1011010101,花叶类,2022-08-29,2023-04-17,130,232,225,0.5603448275862069
102900011001813,金针菇(袋)(1),1011010801,食用菌,2020-07-05,2021-09-28,123,451,449,0.2727272727272727
106971533450003,海鲜菇(包),1011010801,食用菌,2021-10-11,2023-06-30,119,628,620,0.18949044585987262
102900011022849,本地黄心油菜,1011010101,花叶类,2021-02-05,2023-01-10,115,705,696,0.16312056737588654
102900011032206,青杭椒(份),1011010504,辣椒类,2022-02-08,2022-09-26,110,231,231,0.47619047619047616
102900011001691,菱角,1011010402,水生根茎类,2020-08-10,2023-06-30,105,1055,1045,0.0995260663507109
102900005115168,牛首生菜,1011010101,花叶类,2020-10-30,2023-05-30,102,943,933,0.10816542948038176
102900011032350,灯笼椒(2),1011010504,辣椒类,2022-02-19,2023-02-17,101,364,357,0.2774725274725275
102900011031995,姬菇(份),1011010801,食用菌,2022-01-25,2022-11-05,100,285,282,0.3508771929824561
106930274220092,蟹味菇(袋),1011010801,食用菌,2020-12-10,2021-05-01,99,143,141,0.6923076923076923
102900011002414,田七,1011010101,花叶类,2021-02-22,2023-03-11,96,748,740,0.12834224598930483
102900011007969,红莲藕带,1011010402,水生根茎类,2020-08-07,2023-06-30,96,1058,1048,0.09073724007561437
102900005116639,马齿苋,1011010101,花叶类,2021-03-09,2023-06-12,93,826,818,0.11259079903147699
102900005115748,白菜苔,1011010101,花叶类,2020-11-23,2023-03-16,92,844,834,0.10900473933649289
102900005119968,青杭椒(2),1011010504,辣椒类,2020-09-05,2022-06-21,90,655,652,0.13740458015267176
102900011033937,金针菇(2),1011010801,食用菌,2022-04-17,2022-12-16,89,244,238,0.36475409836065575
102900011001561,莲蓬(个),1011010402,水生根茎类,2020-07-23,2022-09-18,86,788,785,0.10913705583756345
102900011032220,水果辣椒(份),1011010504,辣椒类,2022-02-17,2022-08-02,85,167,167,0.5089820359281437
102900011007464,紫苏,1011010101,花叶类,2020-09-14,2023-06-10,84,1000,990,0.084
102900011030103,茼蒿(份),1011010101,花叶类,2021-12-16,2022-03-20,83,95,94,0.8736842105263158
102900051009336,虫草花,1011010801,食用菌,2020-08-31,2023-06-02,82,1006,996,0.08151093439363817
102900011016909,花茄子,1011010501,茄类,2020-09-05,2022-07-10,81,674,671,0.1201780415430267
102900011027479,小皱皮,1011010504,辣椒类,2021-07-15,2023-05-26,81,681,673,0.11894273127753303
102900011032787,竹叶菜(份),1011010101,花叶类,2022-03-13,2022-09-03,77,175,175,0.44
102900011029176,辣妹子,1011010504,辣椒类,2021-10-04,2022-01-04,73,93,93,0.7849462365591398
102900011035511,净藕(3),1011010402,水生根茎类,2022-09-10,2023-01-12,70,125,119,0.56
102900011035771,黄白菜(1),1011010101,花叶类,2022-10-14,2023-01-15,70,94,88,0.7446808510638298
102900011032619,西峡香菇(2),1011010801,食用菌,2022-03-15,2022-12-17,69,278,272,0.24820143884892087
102900011035788,西峡香菇(份) ,1011010801,食用菌,2022-10-13,2023-02-18,65,129,122,0.5038759689922481
102900011035764,龙牙菜,1011010101,花叶类,2022-10-15,2023-02-08,63,117,110,0.5384615384615384
102900005118572,本地上海青,1011010101,花叶类,2020-10-06,2022-11-06,61,762,757,0.08005249343832022
106956146480197,白玉菇(2),1011010801,食用菌,2020-07-12,2021-05-29,59,322,320,0.18322981366459629
102900011033234,红薯尖(份),1011010101,花叶类,2022-03-28,2022-09-04,58,161,161,0.36024844720496896
102900011034200,苋菜(份),1011010101,花叶类,2022-04-16,2022-10-27,56,195,195,0.28717948717948716
102900051010790,紫贝菜,1011010101,花叶类,2021-02-22,2023-05-26,53,824,816,0.06432038834951456
102900011030042,枝江红菜苔(份),1011010101,花叶类,2021-12-17,2022-02-16,52,62,61,0.8387096774193549
102900011033975,青茄子(2),1011010501,茄类,2022-07-30,2023-01-24,52,179,172,0.2905027932960894
102900005119104,蟹味菇(1),1011010801,食用菌,2021-10-10,2022-10-26,51,382,381,0.13350785340314136
106930274620090,海鲜菇(袋)(2),1011010801,食用菌,2022-12-25,2023-02-18,51,56,55,0.9107142857142857
102900011012482,茶树菇(袋),1011010801,食用菌,2022-11-01,2023-02-03,48,95,88,0.5052631578947369
102900005115625,本地小毛白菜,1011010101,花叶类,2022-09-28,2022-12-19,47,83,77,0.5662650602409639
102900011034217,小白菜(份),1011010101,花叶类,2022-04-18,2022-09-18,47,154,154,0.3051948051948052
102900011030158,小青菜(2),1011010101,花叶类,2021-12-16,2022-02-13,46,60,59,0.7666666666666667
102900011033982,紫茄子(1),1011010501,茄类,2022-08-06,2023-06-29,44,328,321,0.13414634146341464
102900011032633,海鲜菇(2),1011010801,食用菌,2022-03-13,2022-04-29,43,48,48,0.8958333333333334
106957634300010,白玉菇(盒),1011010801,食用菌,2022-01-13,2022-03-05,42,52,51,0.8076923076923077
102900011032626,鲜木耳(2),1011010801,食用菌,2022-03-13,2022-05-01,41,50,50,0.82
102900005115977,豌豆尖,1011010101,花叶类,2020-11-21,2023-03-02,39,832,822,0.046875
102900011008515,面条菜,1011010101,花叶类,2021-03-11,2023-04-03,33,754,746,0.04376657824933687
102900011032176,紫苏(份),1011010101,花叶类,2022-02-25,2022-07-02,33,128,128,0.2578125
102900011032640,姬菇(2),1011010801,食用菌,2022-03-13,2022-04-29,33,48,48,0.6875
102900011000861,红线椒,1011010504,辣椒类,2021-07-03,2022-07-19,32,382,381,0.08376963350785341
106956146480203,蟹味菇(2),1011010801,食用菌,2020-07-10,2022-02-07,32,578,575,0.05536332179930796
106957634300058,蟹味菇(盒),1011010801,食用菌,2022-01-13,2022-03-02,32,49,48,0.6530612244897959
102900011007471,薄荷叶,1011010101,花叶类,2021-03-31,2023-06-10,31,802,794,0.03865336658354115
102900011032589,鱼腥草,1011010101,花叶类,2022-03-13,2022-04-27,31,46,46,0.6739130434782609
106972776821582,鲜粽叶(袋)(3),1011010101,花叶类,2023-05-13,2023-06-18,31,37,37,0.8378378378378378
102900011029305,水果辣椒,1011010504,辣椒类,2022-02-05,2023-01-19,30,349,343,0.08595988538681948
102900005116806,黑油菜,1011010101,花叶类,2021-06-10,2022-12-19,27,558,551,0.04838709677419355
102900011034262,红椒(份),1011010504,辣椒类,2022-06-21,2022-09-29,27,101,101,0.26732673267326734
102900011036686,木耳菜(份),1011010101,花叶类,2023-05-15,2023-06-30,25,47,47,0.5319148936170213
102900011030608,牛排菇(盒),1011010801,食用菌,2021-12-30,2023-03-03,24,429,421,0.055944055944055944
102900011036242,青红尖椒组合装(份),1011010504,辣椒类,2023-02-28,2023-04-18,24,50,50,0.48
102900011018132,野生粉藕,1011010402,水生根茎类,2020-11-11,2023-06-30,23,962,952,0.02390852390852391
102900011031216,冰草(盒),1011010101,花叶类,2022-12-08,2023-06-17,23,192,191,0.11979166666666667
102900011033081,春菜,1011010101,花叶类,2022-03-24,2022-05-01,22,39,39,0.5641025641025641
102900011035481,外地茼蒿(份),1011010101,花叶类,2022-09-08,2022-10-02,22,25,25,0.88
102900011028407,余干椒,1011010504,辣椒类,2021-09-03,2021-10-04,20,32,32,0.625
102900011033173,槐花,1011010101,花叶类,2022-04-16,2023-05-16,20,396,389,0.050505050505050504
102900011008133,丝瓜尖,1011010101,花叶类,2021-02-05,2023-02-25,19,751,741,0.02529960053262317
102900011031599,杏鲍菇(份),1011010801,食用菌,2022-01-06,2022-02-16,19,42,41,0.4523809523809524
106973990980123,和丰阳光海鲜菇(包),1011010801,食用菌,2022-07-08,2022-07-29,19,22,22,0.8636363636363636
102900011007495,蒲公英,1011010101,花叶类,2021-08-16,2023-04-08,18,601,593,0.029950083194675542
102900051009220,油菜苔,1011010101,花叶类,2021-02-25,2021-04-09,18,44,44,0.4090909090909091
102900011006955,冰草,1011010101,花叶类,2021-06-23,2022-02-04,17,227,226,0.07488986784140969
102900011011669,秀珍菇,1011010801,食用菌,2020-11-25,2021-02-17,17,85,83,0.2
102900011012871,黑皮鸡枞菌,1011010801,食用菌,2020-09-22,2020-12-25,16,95,95,0.16842105263157894
102900011033241,蔡甸藜蒿(份),1011010101,花叶类,2022-03-28,2022-09-20,16,177,177,0.0903954802259887
102900011000632,紫白菜(1),1011010201,花菜类,2021-01-17,2022-04-29,15,468,465,0.03205128205128205
102900011008485,芥菜,1011010101,花叶类,2021-06-23,2023-04-28,14,675,667,0.02074074074074074
102900011008676,荠菜,1011010101,花叶类,2020-11-09,2023-02-10,14,824,814,0.01699029126213592
102900011015384,马兰头,1011010101,花叶类,2022-03-01,2022-04-14,14,45,45,0.3111111111111111
102900011032480,白蒿,1011010101,花叶类,2023-02-15,2023-03-23,14,37,37,0.3783783783783784
102900011034569,洪湖莲藕(脆藕),1011010402,水生根茎类,2022-07-21,2022-09-23,12,65,65,0.18461538461538463
102900011021644,洪山菜苔,1011010101,花叶类,2021-12-26,2022-11-12,11,322,319,0.034161490683229816
102900011000175,快菜,1011010101,花叶类,2020-08-04,2020-08-13,10,10,10,1.0
102900011021699,牛排菇,1011010801,食用菌,2020-12-12,2021-11-07,10,331,329,0.030211480362537766
102900011029299,紫螺丝椒,1011010504,辣椒类,2022-06-18,2023-01-20,10,217,211,0.04608294930875576
102900011031735,七彩椒(份),1011010504,辣椒类,2022-01-19,2022-02-12,10,25,24,0.4
102900011033968,西峡花菇(2),1011010801,食用菌,2022-04-16,2022-04-29,10,14,14,0.7142857142857143
102900011034323,鲜粽叶,1011010101,花叶类,2022-05-22,2022-06-01,9,11,11,0.8181818181818182
102900005117353,白玉菇(1),1011010801,食用菌,2021-05-19,2021-07-11,8,54,54,0.14814814814814814
102900011000335,紫圆茄,1011010501,茄类,2021-07-17,2022-07-02,8,351,350,0.022792022792022793
102900011023976,净藕(2),1011010402,水生根茎类,2023-02-05,2023-02-12,8,8,8,1.0
102900011026502,鲜粽子叶,1011010101,花叶类,2021-06-05,2021-06-13,8,9,9,0.8888888888888888
102900011031759,红灯笼椒(份),1011010504,辣椒类,2022-01-09,2022-02-11,8,34,33,0.23529411764705882
102900011024010,鲜藕带(袋),1011010402,水生根茎类,2021-05-09,2021-05-18,7,10,10,0.7
102900011032282,襄甜红菜苔(袋),1011010101,花叶类,2022-01-24,2022-02-05,7,13,12,0.5384615384615384
102900011034354,鲜粽叶(袋)(1),1011010101,花叶类,2022-05-27,2022-06-09,7,14,14,0.5
102900005128748,黄花菜,1011010101,花叶类,2021-08-20,2023-05-13,6,632,624,0.00949367088607595
102900011030615,猪肚菇(盒),1011010801,食用菌,2021-12-29,2022-01-11,6,14,14,0.42857142857142855
102900011032114,荸荠(份),1011010402,水生根茎类,2022-02-13,2022-02-19,6,7,7,0.8571428571428571
102900011035962,野藕(2),1011010402,水生根茎类,2022-11-16,2022-11-21,6,6,6,1.0
106931885000035,绣球菌,1011010801,食用菌,2020-10-04,2021-04-12,6,191,189,0.031413612565445025
102900005116905,青杭椒(1),1011010504,辣椒类,2021-02-10,2021-09-06,5,209,207,0.023923444976076555
102900011026793,杏鲍菇(250克),1011010801,食用菌,2021-07-05,2021-10-06,5,94,94,0.05319148936170213
102900011027615,菊花油菜,1011010101,花叶类,2021-07-18,2021-07-23,5,6,6,0.8333333333333334
102900011030561,赤松茸(盒),1011010801,食用菌,2021-12-29,2022-01-05,5,8,8,0.625
102900005115816,南瓜尖,1011010101,花叶类,2020-07-08,2021-07-12,4,370,368,0.010810810810810811
102900011026618,艾蒿,1011010101,花叶类,2022-06-01,2023-06-22,4,387,380,0.0103359173126615
102900011027462,奶白菜苗,1011010101,花叶类,2021-07-21,2021-07-30,4,10,10,0.4
102900011031742,灯笼椒(份),1011010504,辣椒类,2022-01-14,2022-01-24,4,11,11,0.36363636363636365
102900011031841,双孢菇(份),1011010801,食用菌,2022-02-08,2022-11-19,4,285,283,0.014035087719298246
102900011034705,菌菇火锅套餐(份),1011010801,食用菌,2023-01-06,2023-01-19,4,14,14,0.2857142857142857
102900011035849,大白菜秧,1011010101,花叶类,2023-03-07,2023-04-05,4,30,30,0.13333333333333333
102900011036068,菌蔬四宝(份),1011010801,食用菌,2022-12-29,2023-01-01,4,4,4,1.0
106971563780002,鲜粽叶(袋)(2),1011010101,花叶类,2022-05-18,2022-05-26,4,9,9,0.4444444444444444
102900011008577,猴头菇,1011010801,食用菌,2020-11-12,2022-03-09,3,483,480,0.006211180124223602
102900011010563,鸡枞菌,1011010801,食用菌,2020-09-24,2020-09-26,3,3,3,1.0
102900011011058,黑牛肝菌,1011010801,食用菌,2022-08-28,2023-05-26,3,272,265,0.011029411764705883
102900011021675,赤松茸,1011010801,食用菌,2023-04-17,2023-04-19,3,3,3,1.0
102900011022924,青菜苔,1011010101,花叶类,2021-03-05,2021-03-07,3,3,3,1.0
102900011030417,洪山菜薹莲藕拼装礼盒,1011010101,花叶类,2023-01-11,2023-01-23,3,13,12,0.23076923076923078
102900011030622,黑牛肝菌(盒),1011010801,食用菌,2021-12-29,2021-12-31,3,3,3,1.0
102900011030639,黑皮鸡枞菌(盒),1011010801,食用菌,2022-01-02,2022-01-05,3,4,4,0.75
102900011033999,圆茄子(1),1011010501,茄类,2022-09-06,2022-09-09,3,4,4,0.75
102900011034538,花菇(一人份),1011010801,食用菌,2023-01-31,2023-02-13,3,14,14,0.21428571428571427
102900051006229,藕尖,1011010402,水生根茎类,2021-12-18,2022-01-11,3,25,25,0.12
102900011008492,大芥兰,1011010101,花叶类,2021-07-18,2021-07-19,2,2,2,1.0
102900011029275,紫尖椒,1011010504,辣椒类,2021-12-10,2021-12-11,2,2,2,1.0
102900011029688,双沟白菜,1011010101,花叶类,2021-11-05,2021-11-08,2,4,4,0.5
102900011033913,紫白菜(2),1011010201,花菜类,2022-04-21,2022-04-23,2,3,3,0.6666666666666666
102900011036266,鹿茸菇(盒),1011010801,食用菌,2023-02-13,2023-02-17,2,5,5,0.4
106931885000356,绣球菌(袋),1011010801,食用菌,2022-04-25,2022-04-30,2,6,6,0.3333333333333333
102900011009772,水果辣椒(橙色),1011010504,辣椒类,2022-02-05,2022-02-05,1,1,1,1.0
102900011015391,甘蓝叶,1011010101,花叶类,2021-03-11,2021-03-11,1,1,1,1.0
102900011023075,活体银耳,1011010801,食用菌,2021-03-31,2021-03-31,1,1,1,1.0
102900011030400,洪山菜薹珍品手提袋,1011010101,花叶类,2023-01-07,2023-01-07,1,1,1,1.0
102900011031858,金针菇(份),1011010801,食用菌,2022-08-27,2022-08-27,1,1,1,1.0
102900011033531,红珊瑚(粗叶),1011010101,花叶类,2022-04-13,2022-04-13,1,1,1,1.0
102900011033562,红橡叶,1011010101,花叶类,2022-04-13,2022-04-13,1,1,1,1.0
102900011033586,绿牛油,1011010101,花叶类,2022-04-13,2022-04-13,1,1,1,1.0
102900011034316,芝麻苋菜,1011010101,花叶类,2022-05-19,2022-05-19,1,1,1,1.0
102900051000890,芥兰,1011010101,花叶类,2021-07-22,2021-07-22,1,1,1,1.0
106973223300667,虫草花(盒)(2),1011010801,食用菌,2021-02-04,2021-02-04,1,1,1,1.0

