日期,正常销售量,退货量,净销量
2020-09-15,309.957,0.0,309.957
2020-09-16,352.717,0.0,352.717
2020-09-17,301.947,0.0,301.947
2020-09-18,293.903,0.0,293.903
2020-09-19,533.26,0.0,533.26
2020-09-20,602.088,0.0,602.088
2020-09-21,409.435,0.0,409.435
2020-09-22,462.842,0.0,462.842
2020-09-23,362.97,0.0,362.97
2020-09-24,384.421,-0.325,384.096
2020-09-25,383.05,0.0,383.05
2020-09-26,576.264,-0.845,575.419
2020-09-27,411.579,0.0,411.579
2020-09-28,254.094,0.0,254.094
2020-09-29,337.418,0.0,337.418
2020-09-30,464.59,0.0,464.59
2020-10-01,598.202,0.0,598.202
2020-10-02,530.332,0.0,530.332
2020-10-03,569.646,0.0,569.646
2020-10-04,528.081,0.0,528.081
2020-10-05,712.233,0.0,712.233
2020-10-06,669.342,-0.338,669.004
2020-10-07,537.208,0.0,537.208
2020-10-08,768.263,0.0,768.263
2020-10-09,402.629,0.0,402.629
2020-10-10,389.581,0.0,389.581
2020-10-11,624.378,0.0,624.378
2020-10-12,412.6,0.0,412.6
2020-10-13,396.342,-0.301,396.041
2020-10-14,411.359,0.0,411.359
2020-10-15,429.617,0.0,429.617
2020-10-16,452.718,0.0,452.718
2020-10-17,689.531,-1.948,687.583
2020-10-18,635.403,0.0,635.403
2020-10-19,385.779,0.0,385.779
2020-10-20,374.903,0.0,374.903
2020-10-21,350.009,0.0,350.009
2020-10-22,338.768,0.0,338.768
2020-10-23,440.06,-1.0,439.06
2020-10-24,595.86,0.0,595.86
2020-10-25,544.504,0.0,544.504
2020-10-26,319.468,-0.459,319.009
2020-10-27,314.575,0.0,314.575
2020-10-28,367.101,0.0,367.101
2020-10-29,309.422,0.0,309.422
2020-10-30,328.825,0.0,328.825
2020-10-31,643.143,0.0,643.143
2020-11-01,564.446,0.0,564.446
2020-11-02,336.271,0.0,336.271
2020-11-03,346.185,-1.425,344.76
2020-11-04,473.597,0.0,473.597
2020-11-05,395.466,0.0,395.466
2020-11-06,388.26,-0.435,387.825
2020-11-07,620.678,-0.707,619.971
2020-11-08,613.911,0.0,613.911
2020-11-09,354.981,0.0,354.981
2020-11-10,324.18,0.0,324.18
2020-11-11,377.213,0.0,377.213
2020-11-12,323.516,-0.714,322.802
2020-11-13,362.015,0.0,362.015
2020-11-14,532.052,0.0,532.052
2020-11-15,515.886,-0.582,515.304
2020-11-16,318.557,0.0,318.557
2020-11-17,478.589,0.0,478.589
2020-11-18,433.373,0.0,433.373
2020-11-19,470.158,0.0,470.158
2020-11-20,453.92,0.0,453.92
2020-11-21,945.108,-1.6880000000000002,943.42
2020-11-22,845.41,0.0,845.41
2020-11-23,674.667,0.0,674.667
2020-11-24,509.523,0.0,509.523
2020-11-25,461.38100000000003,0.0,461.38100000000003
2020-11-26,513.018,0.0,513.018
2020-11-27,456.978,0.0,456.978
2020-11-28,798.402,0.0,798.402
2020-11-29,651.607,0.0,651.607
2020-11-30,439.98,0.0,439.98
2020-12-01,495.276,0.0,495.276
2020-12-02,504.588,0.0,504.588
2020-12-03,495.89,0.0,495.89
2020-12-04,522.557,0.0,522.557
2020-12-05,646.721,0.0,646.721
2020-12-06,843.714,0.0,843.714
2020-12-07,428.298,0.0,428.298
2020-12-08,430.075,-0.241,429.834
2020-12-09,367.508,0.0,367.508
2020-12-10,403.913,0.0,403.913
2020-12-11,452.465,-0.368,452.097
2020-12-12,648.459,-1.089,647.3699999999999
2020-12-13,823.273,0.0,823.273
2020-12-14,440.745,0.0,440.745
2020-12-15,440.293,-0.75,439.543
2020-12-16,343.741,0.0,343.741
2020-12-17,386.812,0.0,386.812
2020-12-18,388.498,-0.455,388.043
2020-12-19,651.11,-1.0,650.11
2020-12-20,665.706,-1.0,664.706
2020-12-21,349.454,0.0,349.454
2020-12-22,344.122,-0.313,343.809
2020-12-23,346.361,-0.234,346.127
2020-12-24,443.003,-0.999,442.00399999999996
2020-12-25,471.703,0.0,471.703
2020-12-26,657.102,-0.501,656.601
2020-12-27,615.751,0.0,615.751
2020-12-28,477.614,0.0,477.614
2020-12-29,433.444,0.0,433.444
2020-12-30,370.686,0.0,370.686
2020-12-31,462.828,0.0,462.828
2021-01-01,594.459,0.0,594.459
2021-01-02,542.978,-0.92,542.058
2021-01-03,542.528,0.0,542.528
2021-01-04,434.648,0.0,434.648
2021-01-05,428.547,0.0,428.547
2021-01-06,418.066,0.0,418.066
2021-01-07,417.523,0.0,417.523
2021-01-08,457.875,0.0,457.875
2021-01-09,597.401,0.0,597.401
2021-01-10,618.01,0.0,618.01
2021-01-11,403.256,0.0,403.256
2021-01-12,363.073,0.0,363.073
2021-01-13,351.767,0.0,351.767
2021-01-14,360.478,0.0,360.478
2021-01-15,408.858,0.0,408.858
2021-01-16,627.554,0.0,627.554
2021-01-17,582.322,0.0,582.322
2021-01-18,379.348,0.0,379.348
2021-01-19,426.7,0.0,426.7
2021-01-20,436.507,0.0,436.507
2021-01-21,439.72,0.0,439.72
2021-01-22,455.079,0.0,455.079
2021-01-23,554.818,0.0,554.818
2021-01-24,745.948,0.0,745.948
2021-01-25,513.433,0.0,513.433
2021-01-26,487.116,0.0,487.116
2021-01-27,534.877,0.0,534.877
2021-01-28,435.146,0.0,435.146
2021-01-29,407.347,0.0,407.347
2021-01-30,549.623,0.0,549.623
2021-01-31,547.864,0.0,547.864
2021-02-01,411.973,0.0,411.973
2021-02-02,486.76800000000003,0.0,486.76800000000003
2021-02-03,529.363,0.0,529.363
2021-02-04,564.194,0.0,564.194
2021-02-05,554.427,0.0,554.427
2021-02-06,697.375,0.0,697.375
2021-02-07,700.338,0.0,700.338
2021-02-08,1068.928,0.0,1068.928
2021-02-09,1471.646,0.0,1471.646
2021-02-10,2103.778,-4.128,2099.6499999999996
2021-02-13,524.215,0.0,524.215
2021-02-14,583.878,0.0,583.878
2021-02-15,829.938,-1.619,828.319
2021-02-16,719.914,0.0,719.914
2021-02-17,576.07,0.0,576.07
2021-02-18,599.705,0.0,599.705
2021-02-19,526.576,0.0,526.576
2021-02-20,505.217,0.0,505.217
2021-02-21,412.286,0.0,412.286
2021-02-22,365.606,0.0,365.606
2021-02-23,393.03000000000003,0.0,393.03000000000003
2021-02-24,452.894,0.0,452.894
2021-02-25,515.818,0.0,515.818
2021-02-26,745.052,0.0,745.052
2021-02-27,600.11,0.0,600.11
2021-02-28,668.212,-4.332,663.88
2021-03-01,503.04,0.0,503.04
2021-03-02,431.948,0.0,431.948
2021-03-03,404.205,0.0,404.205
2021-03-04,378.295,0.0,378.295
2021-03-05,495.347,0.0,495.347
2021-03-06,771.857,0.0,771.857
2021-03-07,660.533,-6.505,654.028
2021-03-08,463.252,0.0,463.252
2021-03-09,478.832,0.0,478.832
2021-03-10,335.483,0.0,335.483
2021-03-11,370.111,0.0,370.111
2021-03-12,415.685,0.0,415.685
2021-03-13,491.546,0.0,491.546
2021-03-14,458.217,0.0,458.217
2021-03-15,281.749,0.0,281.749
2021-03-16,270.232,0.0,270.232
2021-03-17,303.569,0.0,303.569
2021-03-18,329.091,0.0,329.091
2021-03-19,375.972,0.0,375.972
2021-03-20,558.942,0.0,558.942
2021-03-21,517.793,0.0,517.793
2021-03-22,288.812,0.0,288.812
2021-03-23,311.106,0.0,311.106
2021-03-24,238.029,0.0,238.029
2021-03-25,239.942,0.0,239.942
2021-03-26,422.273,0.0,422.273
2021-03-27,469.286,0.0,469.286
2021-03-28,395.704,0.0,395.704
2021-03-29,312.862,0.0,312.862
2021-03-30,285.757,-1.722,284.035
2021-03-31,317.53,0.0,317.53
2021-04-01,344.719,0.0,344.719
2021-04-02,450.643,-0.673,449.96999999999997
2021-04-03,528.418,0.0,528.418
2021-04-04,470.356,0.0,470.356
2021-04-05,476.529,0.0,476.529
2021-04-06,122.247,0.0,122.247
2021-04-07,369.699,0.0,369.699
2021-04-08,277.181,0.0,277.181
2021-04-09,329.834,0.0,329.834
2021-04-10,447.747,-0.226,447.521
2021-04-11,452.445,0.0,452.445
2021-04-12,276.863,0.0,276.863
2021-04-13,266.274,0.0,266.274
2021-04-14,308.561,0.0,308.561
2021-04-15,270.943,0.0,270.943
2021-04-16,314.788,0.0,314.788
2021-04-17,471.379,0.0,471.379
2021-04-18,468.645,0.0,468.645
2021-04-19,285.15,0.0,285.15
2021-04-20,311.167,0.0,311.167
2021-04-21,354.244,0.0,354.244
2021-04-22,300.233,0.0,300.233
2021-04-23,358.607,0.0,358.607
2021-04-24,608.187,0.0,608.187
2021-04-25,460.95,0.0,460.95
2021-04-26,316.973,0.0,316.973
2021-04-27,278.105,0.0,278.105
2021-04-28,270.834,-0.385,270.449
2021-04-29,280.37,0.0,280.37
2021-04-30,305.488,0.0,305.488
2021-05-01,395.526,0.0,395.526
2021-05-02,403.088,0.0,403.088
2021-05-03,446.21,0.0,446.21
2021-05-04,352.143,0.0,352.143
2021-05-05,403.448,0.0,403.448
2021-05-06,304.911,0.0,304.911
2021-05-07,308.219,0.0,308.219
2021-05-08,325.85,0.0,325.85
2021-05-09,445.93,0.0,445.93
2021-05-10,308.855,0.0,308.855
2021-05-11,329.737,0.0,329.737
2021-05-12,300.735,0.0,300.735
2021-05-13,294.51,0.0,294.51
2021-05-14,356.905,0.0,356.905
2021-05-15,485.369,0.0,485.369
2021-05-16,494.877,0.0,494.877
2021-05-17,341.009,0.0,341.009
2021-05-18,354.775,0.0,354.775
2021-05-19,313.152,0.0,313.152
2021-05-20,294.638,-1.032,293.606
2021-05-21,246.525,0.0,246.525
2021-05-22,404.495,0.0,404.495
2021-05-23,540.919,0.0,540.919
2021-05-24,295.477,0.0,295.477
2021-05-25,275.797,0.0,275.797
2021-05-26,330.217,0.0,330.217
2021-05-27,269.805,0.0,269.805
2021-05-28,283.872,0.0,283.872
2021-05-29,414.242,0.0,414.242
2021-05-30,389.396,0.0,389.396
2021-05-31,356.144,0.0,356.144
2021-06-01,337.15500000000003,0.0,337.15500000000003
2021-06-02,391.232,0.0,391.232
2021-06-03,324.925,0.0,324.925
2021-06-04,293.464,0.0,293.464
2021-06-05,455.90500000000003,0.0,455.90500000000003
2021-06-06,424.202,0.0,424.202
2021-06-07,308.82,0.0,308.82
2021-06-08,285.802,0.0,285.802
2021-06-09,263.992,0.0,263.992
2021-06-10,257.636,0.0,257.636
2021-06-11,274.793,0.0,274.793
2021-06-12,472.794,-1.0,471.794
2021-06-13,488.522,0.0,488.522
2021-06-14,420.649,-1.0390000000000001,419.61
2021-06-15,296.274,-1.0,295.274
2021-06-16,219.482,0.0,219.482
2021-06-17,268.31,0.0,268.31
2021-06-18,297.708,0.0,297.708
2021-06-19,415.798,0.0,415.798
2021-06-20,441.515,-1.0,440.515
2021-06-21,315.523,0.0,315.523
2021-06-22,282.865,-0.8939999999999999,281.971
2021-06-23,303.421,0.0,303.421
2021-06-24,261.826,0.0,261.826
2021-06-25,278.899,0.0,278.899
2021-06-26,455.754,0.0,455.754
2021-06-27,450.108,0.0,450.108
2021-06-28,271.55,0.0,271.55
2021-06-29,240.54,0.0,240.54
2021-06-30,268.007,0.0,268.007
2021-07-01,304.324,0.0,304.324
2021-07-02,283.945,0.0,283.945
2021-07-03,463.765,0.0,463.765
2021-07-04,408.505,0.0,408.505
2021-07-05,401.534,0.0,401.534
2021-07-06,358.549,0.0,358.549
2021-07-07,294.501,0.0,294.501
2021-07-08,329.205,0.0,329.205
2021-07-09,231.867,0.0,231.867
2021-07-10,405.27,0.0,405.27
2021-07-11,420.632,0.0,420.632
2021-07-12,262.921,0.0,262.921
2021-07-13,275.497,0.0,275.497
2021-07-14,343.30400000000003,0.0,343.30400000000003
2021-07-15,270.348,0.0,270.348
2021-07-16,457.737,0.0,457.737
2021-07-17,466.36,0.0,466.36
2021-07-18,466.88,0.0,466.88
2021-07-19,326.277,0.0,326.277
2021-07-20,298.57,0.0,298.57
2021-07-21,340.51,-0.354,340.156
2021-07-22,321.173,0.0,321.173
2021-07-23,295.759,0.0,295.759
2021-07-24,445.079,-0.651,444.428
2021-07-25,471.518,0.0,471.518
2021-07-26,292.05,0.0,292.05
2021-07-27,381.235,0.0,381.235
2021-07-28,411.365,0.0,411.365
2021-07-29,361.275,0.0,361.275
2021-07-30,391.537,0.0,391.537
2021-07-31,453.231,0.0,453.231
2021-08-01,494.141,0.0,494.141
2021-08-02,502.574,0.0,502.574
2021-08-03,459.644,0.0,459.644
2021-08-04,522.379,0.0,522.379
2021-08-05,440.76,-0.778,439.98199999999997
2021-08-06,363.856,0.0,363.856
2021-08-07,448.272,0.0,448.272
2021-08-08,484.564,0.0,484.564
2021-08-09,445.121,0.0,445.121
2021-08-10,357.516,0.0,357.516
2021-08-11,378.909,0.0,378.909
2021-08-12,490.964,-0.503,490.461
2021-08-13,510.403,0.0,510.403
2021-08-14,530.714,0.0,530.714
2021-08-15,526.54,-0.5800000000000001,525.9599999999999
2021-08-16,365.021,0.0,365.021
2021-08-17,395.163,0.0,395.163
2021-08-18,366.866,0.0,366.866
2021-08-19,338.874,0.0,338.874
2021-08-20,384.865,0.0,384.865
2021-08-21,486.639,0.0,486.639
2021-08-22,511.145,0.0,511.145
2021-08-23,307.687,0.0,307.687
2021-08-24,328.786,0.0,328.786
2021-08-25,298.017,0.0,298.017
2021-08-26,469.796,0.0,469.796
2021-08-27,493.731,0.0,493.731
2021-08-28,501.412,0.0,501.412
2021-08-29,527.879,0.0,527.879
2021-08-30,422.351,0.0,422.351
2021-08-31,388.339,0.0,388.339
2021-09-01,367.01,0.0,367.01
2021-09-02,344.004,0.0,344.004
2021-09-03,338.387,0.0,338.387
2021-09-04,516.814,0.0,516.814
2021-09-05,517.592,0.0,517.592
2021-09-06,361.336,0.0,361.336
2021-09-07,329.479,0.0,329.479
2021-09-08,309.652,0.0,309.652
2021-09-09,269.03,-0.565,268.465
2021-09-10,288.435,0.0,288.435
2021-09-11,485.322,0.0,485.322
2021-09-12,509.376,0.0,509.376
2021-09-13,297.845,0.0,297.845
2021-09-14,309.693,0.0,309.693
2021-09-15,285.692,0.0,285.692
2021-09-16,244.133,0.0,244.133
2021-09-17,259.505,0.0,259.505
2021-09-18,317.593,-1.005,316.588
2021-09-19,598.576,-1.666,596.91
2021-09-20,611.914,-2.1109999999999998,609.803
2021-09-21,604.26,-2.218,602.042
2021-09-22,326.787,-2.657,324.13
2021-09-23,255.894,-0.809,255.085
2021-09-24,241.296,-0.565,240.731
2021-09-25,430.807,-4.996,425.81100000000004
2021-09-26,303.723,-2.174,301.54900000000004
2021-09-27,200.90200000000002,0.0,200.90200000000002
2021-09-28,226.52,0.0,226.52
2021-09-29,256.443,0.0,256.443
2021-09-30,257.665,0.0,257.665
2021-10-01,496.011,-3.798,492.213
2021-10-02,411.261,-4.672,406.589
2021-10-03,379.047,-4.123,374.92400000000004
2021-10-04,383.202,-6.175,377.027
2021-10-05,432.648,-4.643,428.00500000000005
2021-10-06,517.864,-4.411,513.4530000000001
2021-10-07,387.676,-0.316,387.36
2021-10-08,347.089,-1.5670000000000002,345.522
2021-10-09,308.025,-0.352,307.673
2021-10-10,577.778,-4.448,573.33
2021-10-11,244.48,0.0,244.48
2021-10-12,257.433,-0.619,256.81399999999996
2021-10-13,238.084,-1.665,236.419
2021-10-14,207.985,0.0,207.985
2021-10-15,386.581,0.0,386.581
2021-10-16,546.342,0.0,546.342
2021-10-17,390.167,0.0,390.167
2021-10-18,230.761,0.0,230.761
2021-10-19,219.398,0.0,219.398
2021-10-20,270.072,-0.079,269.993
2021-10-21,218.066,0.0,218.066
2021-10-22,212.842,0.0,212.842
2021-10-23,328.575,-1.1800000000000002,327.395
2021-10-24,266.541,0.0,266.541
2021-10-25,172.471,0.0,172.471
2021-10-26,209.186,0.0,209.186
2021-10-27,221.09,0.0,221.09
2021-10-28,185.622,0.0,185.622
2021-10-29,227.602,0.0,227.602
2021-10-30,336.061,0.0,336.061
2021-10-31,295.908,0.0,295.908
2021-11-01,206.256,0.0,206.256
2021-11-02,222.566,0.0,222.566
2021-11-03,231.873,0.0,231.873
2021-11-04,227.886,0.0,227.886
2021-11-05,328.297,-0.522,327.77500000000003
2021-11-06,374.682,-1.338,373.344
2021-11-07,462.03,0.0,462.03
2021-11-08,247.478,0.0,247.478
2021-11-09,195.75,-0.996,194.754
2021-11-10,206.352,0.0,206.352
2021-11-11,171.39600000000002,0.0,171.39600000000002
2021-11-12,211.708,0.0,211.708
2021-11-13,242.705,0.0,242.705
2021-11-14,308.681,-0.546,308.135
2021-11-15,157.237,0.0,157.237
2021-11-16,152.197,-0.188,152.00900000000001
2021-11-17,170.334,-0.332,170.002
2021-11-18,124.302,0.0,124.302
2021-11-19,136.922,0.0,136.922
2021-11-20,282.673,-2.3200000000000003,280.353
2021-11-21,298.722,0.0,298.722
2021-11-22,140.38,0.0,140.38
2021-11-23,144.392,0.0,144.392
2021-11-24,139.021,0.0,139.021
2021-11-25,128.267,0.0,128.267
2021-11-26,155.14000000000001,0.0,155.14000000000001
2021-11-27,243.711,-1.244,242.467
2021-11-28,241.513,0.0,241.513
2021-11-29,143.50900000000001,0.0,143.50900000000001
2021-11-30,169.157,0.0,169.157
2021-12-01,177.787,-1.205,176.582
2021-12-02,149.288,0.0,149.288
2021-12-03,199.623,0.0,199.623
2021-12-04,317.289,0.0,317.289
2021-12-05,339.99,0.0,339.99
2021-12-06,183.333,0.0,183.333
2021-12-07,184.64000000000001,0.0,184.64000000000001
2021-12-08,191.671,0.0,191.671
2021-12-09,169.247,0.0,169.247
2021-12-10,206.07,0.0,206.07
2021-12-11,471.901,0.0,471.901
2021-12-12,327.375,0.0,327.375
2021-12-13,239.426,0.0,239.426
2021-12-14,251.707,0.0,251.707
2021-12-15,222.365,-0.652,221.71300000000002
2021-12-16,254.656,0.0,254.656
2021-12-17,286.165,0.0,286.165
2021-12-18,407.493,0.0,407.493
2021-12-19,447.481,0.0,447.481
2021-12-20,264.83,-0.879,263.95099999999996
2021-12-21,229.902,0.0,229.902
2021-12-22,198.944,0.0,198.944
2021-12-23,232.803,0.0,232.803
2021-12-24,310.859,-0.388,310.471
2021-12-25,497.245,0.0,497.245
2021-12-26,499.873,-0.894,498.979
2021-12-27,222.651,-2.0,220.651
2021-12-28,232.347,0.0,232.347
2021-12-29,194.518,0.0,194.518
2021-12-30,217.41,0.0,217.41
2021-12-31,424.872,-0.4,424.47200000000004
2022-01-01,426.249,0.0,426.249
2022-01-02,283.681,-0.629,283.05199999999996
2022-01-03,340.698,0.0,340.698
2022-01-04,292.104,0.0,292.104
2022-01-05,256.394,0.0,256.394
2022-01-06,248.546,-0.115,248.43099999999998
2022-01-07,312.911,0.0,312.911
2022-01-08,440.738,0.0,440.738
2022-01-09,499.77,0.0,499.77
2022-01-10,279.988,0.0,279.988
2022-01-11,296.372,0.0,296.372
2022-01-12,294.009,0.0,294.009
2022-01-13,242.38400000000001,0.0,242.38400000000001
2022-01-14,312.41,0.0,312.41
2022-01-15,373.689,0.0,373.689
2022-01-16,406.944,-1.0,405.944
2022-01-17,231.668,0.0,231.668
2022-01-18,230.949,0.0,230.949
2022-01-19,328.553,0.0,328.553
2022-01-20,391.986,0.0,391.986
2022-01-21,418.636,0.0,418.636
2022-01-22,563.431,-0.306,563.125
2022-01-23,568.15,0.0,568.15
2022-01-24,458.764,0.0,458.764
2022-01-25,468.18,0.0,468.18
2022-01-26,482.057,0.0,482.057
2022-01-27,569.471,-3.1109999999999998,566.36
2022-01-28,892.809,0.0,892.809
2022-01-29,1138.963,-1.79,1137.173
2022-01-30,1210.302,0.0,1210.302
2022-02-01,233.535,0.0,233.535
2022-02-02,388.067,0.0,388.067
2022-02-03,373.094,0.0,373.094
2022-02-04,600.729,0.0,600.729
2022-02-05,473.26,0.0,473.26
2022-02-06,596.37,0.0,596.37
2022-02-07,465.864,0.0,465.864
2022-02-08,396.282,0.0,396.282
2022-02-09,347.821,0.0,347.821
2022-02-10,327.72,0.0,327.72
2022-02-11,336.978,0.0,336.978
2022-02-12,375.47,0.0,375.47
2022-02-13,376.491,0.0,376.491
2022-02-14,332.545,0.0,332.545
2022-02-15,368.974,0.0,368.974
2022-02-16,223.673,0.0,223.673
2022-02-17,282.174,-1.359,280.815
2022-02-18,292.788,0.0,292.788
2022-02-19,362.534,0.0,362.534
2022-02-20,306.663,0.0,306.663
2022-02-21,217.609,0.0,217.609
2022-02-22,237.947,0.0,237.947
2022-02-23,185.092,0.0,185.092
2022-02-24,228.647,0.0,228.647
2022-02-25,280.943,0.0,280.943
2022-02-26,351.832,0.0,351.832
2022-02-27,301.072,-1.603,299.469
2022-02-28,221.817,-1.745,220.072
2022-03-01,195.05,0.0,195.05
2022-03-02,208.466,0.0,208.466
2022-03-03,195.251,0.0,195.251
2022-03-04,230.812,0.0,230.812
2022-03-05,350.913,-1.0,349.913
2022-03-06,360.065,0.0,360.065
2022-03-07,178.763,0.0,178.763
2022-03-08,198.696,0.0,198.696
2022-03-09,190.69,0.0,190.69
2022-03-10,189.076,0.0,189.076
2022-03-11,217.74099999999999,0.0,217.74099999999999
2022-03-12,337.889,0.0,337.889
2022-03-13,283.307,0.0,283.307
2022-03-14,245.929,0.0,245.929
2022-03-15,235.595,0.0,235.595
2022-03-16,236.99099999999999,0.0,236.99099999999999
2022-03-17,275.132,0.0,275.132
2022-03-18,296.004,0.0,296.004
2022-03-19,477.544,-1.0,476.544
2022-03-20,404.138,0.0,404.138
2022-03-21,358.075,0.0,358.075
2022-03-22,318.063,0.0,318.063
2022-03-23,240.50300000000001,-0.686,239.817
2022-03-24,213.634,0.0,213.634
2022-03-25,325.14300000000003,0.0,325.14300000000003
2022-03-26,373.486,0.0,373.486
2022-03-27,333.883,0.0,333.883
2022-03-28,209.112,0.0,209.112
2022-03-29,198.998,0.0,198.998
2022-03-30,253.278,0.0,253.278
2022-03-31,239.945,0.0,239.945
2022-04-01,299.094,-0.602,298.492
2022-04-02,313.178,0.0,313.178
2022-04-03,337.758,0.0,337.758
2022-04-04,374.573,0.0,374.573
2022-04-05,274.873,0.0,274.873
2022-04-06,203.611,0.0,203.611
2022-04-07,160.387,0.0,160.387
2022-04-08,172.875,0.0,172.875
2022-04-09,363.894,0.0,363.894
2022-04-10,381.039,-1.0,380.039
2022-04-11,192.703,0.0,192.703
2022-04-12,233.301,0.0,233.301
2022-04-13,244.586,0.0,244.586
2022-04-14,243.084,0.0,243.084
2022-04-15,282.952,0.0,282.952
2022-04-16,297.114,0.0,297.114
2022-04-17,295.502,0.0,295.502
2022-04-18,242.687,0.0,242.687
2022-04-19,208.393,0.0,208.393
2022-04-20,222.209,0.0,222.209
2022-04-21,223.872,0.0,223.872
2022-04-22,256.799,0.0,256.799
2022-04-23,287.285,0.0,287.285
2022-04-24,229.651,0.0,229.651
2022-04-25,281.941,-1.0,280.941
2022-04-26,195.218,0.0,195.218
2022-04-27,216.764,0.0,216.764
2022-04-28,243.599,0.0,243.599
2022-04-29,285.256,0.0,285.256
2022-04-30,330.168,-1.0,329.168
2022-05-01,316.963,0.0,316.963
2022-05-02,284.487,0.0,284.487
2022-05-03,247.126,0.0,247.126
2022-05-04,261.109,0.0,261.109
2022-05-05,185.929,0.0,185.929
2022-05-06,227.807,0.0,227.807
2022-05-07,297.544,0.0,297.544
2022-05-08,318.656,0.0,318.656
2022-05-09,249.525,0.0,249.525
2022-05-10,205.174,0.0,205.174
2022-05-11,186.441,0.0,186.441
2022-05-12,190.63400000000001,0.0,190.63400000000001
2022-05-13,257.779,0.0,257.779
2022-05-14,376.29200000000003,0.0,376.29200000000003
2022-05-15,348.849,-0.403,348.44599999999997
2022-05-16,190.67,0.0,190.67
2022-05-17,161.639,0.0,161.639
2022-05-18,196.996,0.0,196.996
2022-05-19,180.044,0.0,180.044
2022-05-20,183.377,0.0,183.377
2022-05-21,318.597,0.0,318.597
2022-05-22,287.585,-0.96,286.625
2022-05-23,178.161,0.0,178.161
2022-05-24,228.802,0.0,228.802
2022-05-25,182.052,0.0,182.052
2022-05-26,208.086,0.0,208.086
2022-05-27,192.556,0.0,192.556
2022-05-28,389.691,0.0,389.691
2022-05-29,380.063,0.0,380.063
2022-05-30,196.816,0.0,196.816
2022-05-31,206.232,0.0,206.232
2022-06-01,218.232,0.0,218.232
2022-06-02,262.868,0.0,262.868
2022-06-03,420.321,0.0,420.321
2022-06-04,238.69,0.0,238.69
2022-06-05,259.282,0.0,259.282
2022-06-06,237.767,0.0,237.767
2022-06-07,223.314,0.0,223.314
2022-06-08,234.01,0.0,234.01
2022-06-09,412.71,0.0,412.71
2022-06-10,241.057,0.0,241.057
2022-06-11,385.454,0.0,385.454
2022-06-12,373.128,0.0,373.128
2022-06-13,241.876,0.0,241.876
2022-06-14,224.103,0.0,224.103
2022-06-15,230.334,-0.704,229.63
